Hand_R, , ,Shoulder_R, , 
-0.2971308,0.1975729,-2.114244,0.04695662,0.2912088,-2.463844
-0.2971308,0.1975729,-2.114244,0.04695662,0.2912088,-2.463844
-0.2979466,0.2554416,-2.101228,0.04547908,0.288074,-2.458048
-0.2979466,0.2554416,-2.101228,0.04547908,0.288074,-2.458048
-0.2932542,0.315319,-2.088017,0.04185976,0.2900857,-2.450794
-0.2932542,0.315319,-2.088017,0.04185976,0.2900857,-2.450794
-0.2758849,0.3706657,-2.082332,0.04370598,0.2877112,-2.456958
-0.2758849,0.3706657,-2.082332,0.04370598,0.2877112,-2.456958
-0.2547452,0.4182689,-2.072435,0.04279231,0.2920869,-2.458831
-0.2547452,0.4182689,-2.072435,0.04279231,0.2920869,-2.458831
-0.2547452,0.4182689,-2.072435,0.04279231,0.2920869,-2.458831
-0.2547452,0.4182689,-2.072435,0.04279231,0.2920869,-2.458831
-0.2072469,0.4780698,-2.060908,0.04201239,0.3159849,-2.464747
-0.2072469,0.4780698,-2.060908,0.04201239,0.3159849,-2.464747
-0.2072469,0.4780698,-2.060908,0.04201239,0.3159849,-2.464747
-0.2072469,0.4780698,-2.060908,0.04201239,0.3159849,-2.464747
-0.1671475,0.5248255,-2.052006,0.05107154,0.3229019,-2.471296
-0.1671475,0.5248255,-2.052006,0.05107154,0.3229019,-2.471296
-0.1329896,0.5583932,-2.049234,0.02505002,0.2886053,-2.470405
-0.1329896,0.5583932,-2.049234,0.02505002,0.2886053,-2.470405
-0.09504654,0.57958,-2.047071,0.01302653,0.2700697,-2.467953
-0.09504654,0.57958,-2.047071,0.01302653,0.2700697,-2.467953
-0.06250644,0.5757114,-2.03657,0.007971534,0.2662631,-2.466447
-0.06250644,0.5757114,-2.03657,0.007971534,0.2662631,-2.466447
-0.03311399,0.5822697,-2.028271,0.007202312,0.2663947,-2.46733
-0.03311399,0.5822697,-2.028271,0.007202312,0.2663947,-2.46733
-0.004979393,0.5730134,-2.027081,0.008785561,0.2647266,-2.470977
-0.004979393,0.5730134,-2.027081,0.008785561,0.2647266,-2.470977
0.02921996,0.5710499,-2.027495,0.02995358,0.2879287,-2.479672
0.02921996,0.5710499,-2.027495,0.02995358,0.2879287,-2.479672
0.02921996,0.5710499,-2.027495,0.02995358,0.2879287,-2.479672
0.02921996,0.5710499,-2.027495,0.02995358,0.2879287,-2.479672
0.05951826,0.5640141,-2.019707,0.03802684,0.2954337,-2.480654
0.05951826,0.5640141,-2.019707,0.03802684,0.2954337,-2.480654
0.05951826,0.5640141,-2.019707,0.03802684,0.2954337,-2.480654
0.05951826,0.5640141,-2.019707,0.03802684,0.2954337,-2.480654
0.05951826,0.5640141,-2.019707,0.03802684,0.2954337,-2.480654
0.06735597,0.5641547,-2.020274,0.03729456,0.2960486,-2.481909
0.06735597,0.5641547,-2.020274,0.03729456,0.2960486,-2.481909
0.06986573,0.5688962,-2.021877,0.04273204,0.3075725,-2.485307
0.06986573,0.5688962,-2.021877,0.04273204,0.3075725,-2.485307
0.06986573,0.5688962,-2.021877,0.04273204,0.3075725,-2.485307
0.06986573,0.5688962,-2.021877,0.04273204,0.3075725,-2.485307
0.070269,0.5704811,-2.022713,0.04270118,0.3099976,-2.486334
