Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.02646213,-0.2531645,-2.015588,-0.1732492,-0.02486061,-2.11651,-0.1786442,0.2256028,-2.243692,-0.0217594,-0.001170753,-2.276465
-0.02646213,-0.2531645,-2.015588,-0.1732492,-0.02486061,-2.11651,-0.1786442,0.2256028,-2.243692,-0.0217594,-0.001170753,-2.276465
-0.02646213,-0.2531645,-2.015588,-0.1732492,-0.02486061,-2.11651,-0.1786442,0.2256028,-2.243692,-0.0217594,-0.001170753,-2.276465
0.03535615,-0.1877871,-1.987116,-0.1589368,-0.01585666,-2.094418,-0.1800829,0.2261243,-2.246416,-0.0206552,0.0003079988,-2.27254
0.03535615,-0.1877871,-1.987116,-0.1589368,-0.01585666,-2.094418,-0.1800829,0.2261243,-2.246416,-0.0206552,0.0003079988,-2.27254
0.1164368,-0.1248384,-1.952551,-0.1169824,-0.007976955,-2.057584,-0.1803857,0.2322641,-2.248782,-0.01835874,0.007875392,-2.271209
0.1164368,-0.1248384,-1.952551,-0.1169824,-0.007976955,-2.057584,-0.1803857,0.2322641,-2.248782,-0.01835874,0.007875392,-2.271209
0.1493745,-0.05058332,-1.91739,-0.09904723,0.0226039,-2.028693,-0.174408,0.2267001,-2.235579,-0.01519895,0.003361892,-2.277658
0.1493745,-0.05058332,-1.91739,-0.09904723,0.0226039,-2.028693,-0.174408,0.2267001,-2.235579,-0.01519895,0.003361892,-2.277658
0.1579504,0.0260294,-1.899369,-0.09362018,0.05823585,-2.007688,-0.1714577,0.2214746,-2.227182,-0.01230667,-0.0004488346,-2.277224
0.1579504,0.0260294,-1.899369,-0.09362018,0.05823585,-2.007688,-0.1714577,0.2214746,-2.227182,-0.01230667,-0.0004488346,-2.277224
0.1440941,0.1074617,-1.881184,-0.1022157,0.1006128,-1.996777,-0.1677481,0.2203772,-2.221665,-0.01038875,-0.001117814,-2.278935
0.1440941,0.1074617,-1.881184,-0.1022157,0.1006128,-1.996777,-0.1677481,0.2203772,-2.221665,-0.01038875,-0.001117814,-2.278935
0.1549442,0.1899795,-1.848955,-0.08818698,0.141473,-1.969855,-0.1653542,0.223334,-2.218809,-0.005280618,0.003646973,-2.275648
0.1549442,0.1899795,-1.848955,-0.08818698,0.141473,-1.969855,-0.1653542,0.223334,-2.218809,-0.005280618,0.003646973,-2.275648
0.1538626,0.267674,-1.816046,-0.07992543,0.1845215,-1.943854,-0.1604078,0.2240066,-2.222827,-0.0008421297,0.004337652,-2.281205
0.1538626,0.267674,-1.816046,-0.07992543,0.1845215,-1.943854,-0.1604078,0.2240066,-2.222827,-0.0008421297,0.004337652,-2.281205
0.1365326,0.3450329,-1.788368,-0.07484987,0.2254671,-1.922863,-0.1585588,0.2278612,-2.228024,0.00217686,0.008600256,-2.284722
0.1365326,0.3450329,-1.788368,-0.07484987,0.2254671,-1.922863,-0.1585588,0.2278612,-2.228024,0.00217686,0.008600256,-2.284722
0.104578,0.4079112,-1.764757,-0.08610349,0.2628826,-1.909717,-0.1486761,0.2342625,-2.23632,0.004932328,0.00847247,-2.286252
0.104578,0.4079112,-1.764757,-0.08610349,0.2628826,-1.909717,-0.1486761,0.2342625,-2.23632,0.004932328,0.00847247,-2.286252
0.104578,0.4079112,-1.764757,-0.08610349,0.2628826,-1.909717,-0.1486761,0.2342625,-2.23632,0.004932328,0.00847247,-2.286252
0.104578,0.4079112,-1.764757,-0.08610349,0.2628826,-1.909717,-0.1486761,0.2342625,-2.23632,0.004932328,0.00847247,-2.286252
0.06042761,0.4660138,-1.748981,-0.09831256,0.2928542,-1.904624,-0.1465903,0.2290028,-2.235288,0.004478806,0.002397639,-2.289449
0.06042761,0.4660138,-1.748981,-0.09831256,0.2928542,-1.904624,-0.1465903,0.2290028,-2.235288,0.004478806,0.002397639,-2.289449
-0.04433252,0.497185,-1.752823,-0.1623478,0.3135445,-1.933802,-0.1554654,0.2201928,-2.22666,-0.003923279,-0.005809573,-2.282194
-0.04433252,0.497185,-1.752823,-0.1623478,0.3135445,-1.933802,-0.1554654,0.2201928,-2.22666,-0.003923279,-0.005809573,-2.282194
-0.04433252,0.497185,-1.752823,-0.1623478,0.3135445,-1.933802,-0.1554654,0.2201928,-2.22666,-0.003923279,-0.005809573,-2.282194
-0.04433252,0.497185,-1.752823,-0.1623478,0.3135445,-1.933802,-0.1554654,0.2201928,-2.22666,-0.003923279,-0.005809573,-2.282194
-0.04433252,0.497185,-1.752823,-0.1623478,0.3135445,-1.933802,-0.1554654,0.2201928,-2.22666,-0.003923279,-0.005809573,-2.282194
-0.08264651,0.5107757,-1.756544,-0.1895154,0.3219498,-1.939648,-0.1537485,0.2002684,-2.207588,-0.002977005,-0.02091581,-2.280815
-0.08264651,0.5107757,-1.756544,-0.1895154,0.3219498,-1.939648,-0.1537485,0.2002684,-2.207588,-0.002977005,-0.02091581,-2.280815
-0.1202907,0.5231965,-1.753956,-0.2098304,0.3291763,-1.940793,-0.1496288,0.2191386,-2.21855,0.001216829,-0.004500149,-2.284132
-0.1202907,0.5231965,-1.753956,-0.2098304,0.3291763,-1.940793,-0.1496288,0.2191386,-2.21855,0.001216829,-0.004500149,-2.284132
-0.1202907,0.5231965,-1.753956,-0.2098304,0.3291763,-1.940793,-0.1496288,0.2191386,-2.21855,0.001216829,-0.004500149,-2.284132
-0.1202907,0.5231965,-1.753956,-0.2098304,0.3291763,-1.940793,-0.1496288,0.2191386,-2.21855,0.001216829,-0.004500149,-2.284132
-0.1591571,0.5248059,-1.758515,-0.2303231,0.3274765,-1.949701,-0.1477505,0.2287671,-2.227767,0.00332219,0.002556031,-2.283339
-0.1591571,0.5248059,-1.758515,-0.2303231,0.3274765,-1.949701,-0.1477505,0.2287671,-2.227767,0.00332219,0.002556031,-2.283339
-0.19492,0.5207623,-1.766208,-0.2517219,0.3220482,-1.960876,-0.1476748,0.2271138,-2.230213,0.005706541,0.002595164,-2.286561
-0.19492,0.5207623,-1.766208,-0.2517219,0.3220482,-1.960876,-0.1476748,0.2271138,-2.230213,0.005706541,0.002595164,-2.286561
-0.19492,0.5207623,-1.766208,-0.2517219,0.3220482,-1.960876,-0.1466153,0.2242666,-2.224679,0.005809067,0.0004287889,-2.286152
-0.19492,0.5207623,-1.766208,-0.2517219,0.3220482,-1.960876,-0.1466153,0.2242666,-2.224679,0.005809067,0.0004287889,-2.286152
-0.2295645,0.513553,-1.77371,-0.2744037,0.3139704,-1.970692,-0.1466153,0.2242666,-2.224679,0.005809067,0.0004287889,-2.286152
-0.2295645,0.513553,-1.77371,-0.2744037,0.3139704,-1.970692,-0.1466153,0.2242666,-2.224679,0.005809067,0.0004287889,-2.286152
-0.2602866,0.5087329,-1.775103,-0.2881891,0.3101021,-1.975999,-0.1462609,0.2230625,-2.226155,0.004758199,-0.002593719,-2.284386
-0.2602866,0.5087329,-1.775103,-0.2881891,0.3101021,-1.975999,-0.1462609,0.2230625,-2.226155,0.004758199,-0.002593719,-2.284386
-0.2868887,0.5007546,-1.774032,-0.2979666,0.3043267,-1.978674,-0.1491309,0.21935,-2.226356,0.003701343,-0.005330275,-2.28361
-0.2868887,0.5007546,-1.774032,-0.2979666,0.3043267,-1.978674,-0.1491309,0.21935,-2.226356,0.003701343,-0.005330275,-2.28361
-0.3094536,0.4844334,-1.777573,-0.314044,0.2926508,-1.987001,-0.1503786,0.226402,-2.233692,0.002910586,0.0005331696,-2.284664
-0.3094536,0.4844334,-1.777573,-0.314044,0.2926508,-1.987001,-0.1503786,0.226402,-2.233692,0.002910586,0.0005331696,-2.284664
-0.3275678,0.4720399,-1.778893,-0.3190082,0.2860484,-1.993263,-0.1483354,0.2367279,-2.240662,0.003632082,0.009481075,-2.289511
-0.3275678,0.4720399,-1.778893,-0.3190082,0.2860484,-1.993263,-0.1483354,0.2367279,-2.240662,0.003632082,0.009481075,-2.289511
-0.3416717,0.4558694,-1.782945,-0.3254319,0.2774677,-2.003295,-0.1484964,0.2399049,-2.244596,0.003761973,0.01254244,-2.292019
-0.3416717,0.4558694,-1.782945,-0.3254319,0.2774677,-2.003295,-0.1484964,0.2399049,-2.244596,0.003761973,0.01254244,-2.292019
-0.3556591,0.4727856,-1.773622,-0.3351665,0.2846718,-1.984992,-0.1528726,0.237819,-2.242575,-6.971695E-05,0.01104147,-2.291018
-0.3556591,0.4727856,-1.773622,-0.3351665,0.2846718,-1.984992,-0.1528726,0.237819,-2.242575,-6.971695E-05,0.01104147,-2.291018
-0.3671673,0.4860917,-1.767118,-0.3402374,0.2886245,-1.970461,-0.1554044,0.2337625,-2.241946,-0.002525906,0.006624823,-2.288447
-0.3671673,0.4860917,-1.767118,-0.3402374,0.2886245,-1.970461,-0.1554044,0.2337625,-2.241946,-0.002525906,0.006624823,-2.288447
-0.3687666,0.4855382,-1.765736,-0.3430276,0.2882817,-1.969779,-0.1581141,0.2297227,-2.243606,-0.003102473,0.00305592,-2.284941
-0.3687666,0.4855382,-1.765736,-0.3430276,0.2882817,-1.969779,-0.1581141,0.2297227,-2.243606,-0.003102473,0.00305592,-2.284941
-0.3808983,0.4840088,-1.76872,-0.3486961,0.2838619,-1.971351,-0.1565228,0.2276546,-2.243809,-0.002664735,-0.0001877506,-2.283029
