Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.3187412,0.4725534,-1.775909,-0.3206327,0.271401,-1.97165,-0.1584816,0.2263428,-2.241903,-0.0009035752,0.001242634,-2.282063
-0.3219478,0.4857649,-1.774939,-0.3202015,0.2797354,-1.965281,-0.1596969,0.2262848,-2.241382,-0.001685934,0.001552907,-2.282038
-0.3219478,0.4857649,-1.774939,-0.3202015,0.2797354,-1.965281,-0.1596969,0.2262848,-2.241382,-0.001685934,0.001552907,-2.282038
-0.3326507,0.4885317,-1.774284,-0.3313014,0.2794556,-1.967048,-0.1571601,0.2301846,-2.241653,-0.001343896,0.003800306,-2.2816
-0.3326507,0.4885317,-1.774284,-0.3313014,0.2794556,-1.967048,-0.1571601,0.2301846,-2.241653,-0.001343896,0.003800306,-2.2816
-0.3326507,0.4885317,-1.774284,-0.3313014,0.2794556,-1.967048,-0.1571601,0.2301846,-2.241653,-0.001343896,0.003800306,-2.2816
-0.3326507,0.4885317,-1.774284,-0.3313014,0.2794556,-1.967048,-0.1571601,0.2301846,-2.241653,-0.001343896,0.003800306,-2.2816
-0.3326507,0.4885317,-1.774284,-0.3313014,0.2794556,-1.967048,-0.1571601,0.2301846,-2.241653,-0.001343896,0.003800306,-2.2816
-0.342308,0.4835157,-1.77246,-0.3377274,0.2762899,-1.969823,-0.1573302,0.2269558,-2.239362,-0.001736844,0.0006961743,-2.280881
-0.342308,0.4835157,-1.77246,-0.3377274,0.2762899,-1.969823,-0.1573302,0.2269558,-2.239362,-0.001736844,0.0006961743,-2.280881
-0.3634245,0.4787204,-1.769481,-0.3444314,0.2724687,-1.967182,-0.1587797,0.2246828,-2.236256,-0.003017058,-0.0008817168,-2.28076
-0.3634245,0.4787204,-1.769481,-0.3444314,0.2724687,-1.967182,-0.1587797,0.2246828,-2.236256,-0.003017058,-0.0008817168,-2.28076
-0.3634245,0.4787204,-1.769481,-0.3444314,0.2724687,-1.967182,-0.1587797,0.2246828,-2.236256,-0.003017058,-0.0008817168,-2.28076
-0.3634245,0.4787204,-1.769481,-0.3444314,0.2724687,-1.967182,-0.1587797,0.2246828,-2.236256,-0.003017058,-0.0008817168,-2.28076
