Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
-0.4976615,0.3591329,-2.143404,-0.2927127,0.259124,-2.284442,-0.0449875,0.2935303,-2.47618
-0.5139484,0.2923717,-2.16302,-0.2957572,0.2336193,-2.306345,-0.04527624,0.293692,-2.476437
-0.5139484,0.2923717,-2.16302,-0.2957572,0.2336193,-2.306345,-0.04527624,0.293692,-2.476437
-0.5139484,0.2923717,-2.16302,-0.2957572,0.2336193,-2.306345,-0.04527624,0.293692,-2.476437
-0.5220047,0.2211828,-2.183473,-0.2947944,0.21704,-2.321564,-0.04564092,0.2939149,-2.476787
-0.5220047,0.2211828,-2.183473,-0.2947944,0.21704,-2.321564,-0.04564092,0.2939149,-2.476787
-0.5252101,0.1583094,-2.198735,-0.2942854,0.1982709,-2.336192,-0.04599147,0.2941318,-2.477155
-0.5252101,0.1583094,-2.198735,-0.2942854,0.1982709,-2.336192,-0.04599147,0.2941318,-2.477155
-0.5208742,0.1141562,-2.207791,-0.2909929,0.1744768,-2.349744,-0.04629524,0.2943672,-2.477529
-0.5208742,0.1141562,-2.207791,-0.2909929,0.1744768,-2.349744,-0.04629524,0.2943672,-2.477529
-0.5208742,0.1141562,-2.207791,-0.2909929,0.1744768,-2.349744,-0.04629524,0.2943672,-2.477529
-0.5208742,0.1141562,-2.207791,-0.2909929,0.1744768,-2.349744,-0.04629524,0.2943672,-2.477529
-0.5086548,0.0509889,-2.218343,-0.287494,0.1515711,-2.360303,-0.0466599,0.2946358,-2.478023
-0.5086548,0.0509889,-2.218343,-0.287494,0.1515711,-2.360303,-0.0466599,0.2946358,-2.478023
-0.4923105,0.0008858524,-2.223976,-0.2785397,0.1196598,-2.372054,-0.04716191,0.294989,-2.478645
-0.4923105,0.0008858524,-2.223976,-0.2785397,0.1196598,-2.372054,-0.04716191,0.294989,-2.478645
-0.4549913,-0.05654776,-2.232357,-0.2677024,0.1011681,-2.381228,-0.04768446,0.2954674,-2.479522
-0.4549913,-0.05654776,-2.232357,-0.2677024,0.1011681,-2.381228,-0.04768446,0.2954674,-2.479522
-0.3965366,-0.1139372,-2.230141,-0.2543234,0.08152812,-2.391214,-0.04820214,0.2957225,-2.48047
-0.3965366,-0.1139372,-2.230141,-0.2543234,0.08152812,-2.391214,-0.04820214,0.2957225,-2.48047
-0.3571481,-0.1497177,-2.233253,-0.2375791,0.06326678,-2.398971,-0.04873524,0.2958782,-2.48109
