Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
-0.09523877,-0.2162316,-2.192098,-0.150949,0.0214336,-2.375424,-0.06297857,0.2985453,-2.486012
-0.09523877,-0.2162316,-2.192098,-0.150949,0.0214336,-2.375424,-0.06297857,0.2985453,-2.486012
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.001847501,-0.1828972,-2.225577,-0.1326876,0.02604015,-2.378143,-0.06307,0.2985341,-2.485992
0.03821474,-0.1672087,-2.231181,-0.1110298,0.03181819,-2.377164,-0.06324756,0.2985017,-2.485931
0.03821474,-0.1672087,-2.231181,-0.1110298,0.03181819,-2.377164,-0.06324756,0.2985017,-2.485931
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1013809,-0.1397931,-2.216115,-0.08367886,0.03453122,-2.369986,-0.06344623,0.2984418,-2.485819
0.1669752,-0.1014049,-2.197531,-0.05173301,0.04081006,-2.355419,-0.06368046,0.2982416,-2.485251
0.1669752,-0.1014049,-2.197531,-0.05173301,0.04081006,-2.355419,-0.06368046,0.2982416,-2.485251
0.1669752,-0.1014049,-2.197531,-0.05173301,0.04081006,-2.355419,-0.06368046,0.2982416,-2.485251
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2061799,-0.06405001,-2.180993,-0.02902416,0.05003688,-2.340691,-0.06379297,0.2982069,-2.484847
0.2484232,-0.005511183,-2.161359,-0.004195163,0.06351396,-2.32002,-0.0638271,0.2980292,-2.483802
0.2484232,-0.005511183,-2.161359,-0.004195163,0.06351396,-2.32002,-0.0638271,0.2980292,-2.483802
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.2821644,0.05129047,-2.139039,0.01779377,0.07708523,-2.300444,-0.06362205,0.2981167,-2.48295
0.3010022,0.1007691,-2.125029,0.03403907,0.09246153,-2.284007,-0.06337639,0.2982151,-2.482036
0.3010022,0.1007691,-2.125029,0.03403907,0.09246153,-2.284007,-0.06337639,0.2982151,-2.482036
0.3066272,0.189105,-2.103465,0.04729094,0.1247987,-2.257846,-0.06250326,0.2981922,-2.480431
0.3066272,0.189105,-2.103465,0.04729094,0.1247987,-2.257846,-0.06250326,0.2981922,-2.480431
0.3066272,0.189105,-2.103465,0.04729094,0.1247987,-2.257846,-0.06250326,0.2981922,-2.480431
0.3066272,0.189105,-2.103465,0.04729094,0.1247987,-2.257846,-0.06250326,0.2981922,-2.480431
0.3003454,0.2582722,-2.0843,0.05508442,0.1539858,-2.237253,-0.0610751,0.2980745,-2.477687
0.3003454,0.2582722,-2.0843,0.05508442,0.1539858,-2.237253,-0.0610751,0.2980745,-2.477687
0.3003454,0.2582722,-2.0843,0.05508442,0.1539858,-2.237253,-0.0610751,0.2980745,-2.477687
0.3003454,0.2582722,-2.0843,0.05508442,0.1539858,-2.237253,-0.0610751,0.2980745,-2.477687
0.2906341,0.3024447,-2.075313,0.05775011,0.174073,-2.224677,-0.05988685,0.2981912,-2.475587
0.2906341,0.3024447,-2.075313,0.05775011,0.174073,-2.224677,-0.05988685,0.2981912,-2.475587
0.276558,0.3394596,-2.067849,0.0570632,0.1913872,-2.215005,-0.05900227,0.2984595,-2.474329
0.276558,0.3394596,-2.067849,0.0570632,0.1913872,-2.215005,-0.05900227,0.2984595,-2.474329
0.276558,0.3394596,-2.067849,0.0570632,0.1913872,-2.215005,-0.05900227,0.2984595,-2.474329
0.276558,0.3394596,-2.067849,0.0570632,0.1913872,-2.215005,-0.05900227,0.2984595,-2.474329
0.2536792,0.388242,-2.056648,0.05435575,0.213301,-2.203381,-0.05838101,0.2985991,-2.473466
0.2536792,0.388242,-2.056648,0.05435575,0.213301,-2.203381,-0.05838101,0.2985991,-2.473466
0.2313431,0.4302759,-2.049649,0.04955815,0.2357891,-2.192884,-0.05774889,0.2989259,-2.472729
0.2313431,0.4302759,-2.049649,0.04955815,0.2357891,-2.192884,-0.05774889,0.2989259,-2.472729
0.2313431,0.4302759,-2.049649,0.04955815,0.2357891,-2.192884,-0.05774889,0.2989259,-2.472729
0.2313431,0.4302759,-2.049649,0.04955815,0.2357891,-2.192884,-0.05774889,0.2989259,-2.472729
0.2060947,0.4643265,-2.043812,0.04081448,0.2567691,-2.184956,-0.05756402,0.2990439,-2.472435
0.2060947,0.4643265,-2.043812,0.04081448,0.2567691,-2.184956,-0.05756402,0.2990439,-2.472435
0.1763386,0.4972942,-2.03947,0.03279137,0.2722814,-2.178725,-0.05650832,0.2976557,-2.470987
0.1763386,0.4972942,-2.03947,0.03279137,0.2722814,-2.178725,-0.05650832,0.2976557,-2.470987
0.1763386,0.4972942,-2.03947,0.03279137,0.2722814,-2.178725,-0.05650832,0.2976557,-2.470987
0.1763386,0.4972942,-2.03947,0.03279137,0.2722814,-2.178725,-0.05650832,0.2976557,-2.470987
0.1473128,0.5277504,-2.038063,0.01675194,0.2951133,-2.170676,-0.05625166,0.2973164,-2.470727
0.1473128,0.5277504,-2.038063,0.01675194,0.2951133,-2.170676,-0.05625166,0.2973164,-2.470727
0.1473128,0.5277504,-2.038063,0.01675194,0.2951133,-2.170676,-0.05625166,0.2973164,-2.470727
0.1222139,0.5484053,-2.036442,0.005753912,0.3086621,-2.166429,-0.05573797,0.2972207,-2.470557
0.1222139,0.5484053,-2.036442,0.005753912,0.3086621,-2.166429,-0.05573797,0.2972207,-2.470557
0.1222139,0.5484053,-2.036442,0.005753912,0.3086621,-2.166429,-0.05573797,0.2972207,-2.470557
