Hand_L, , ,Shoulder_L, , 
-0.04761595,0.5425674,-2.137509,-0.1365927,0.2590952,-2.509676
-0.04761595,0.5425674,-2.137509,-0.1365927,0.2590952,-2.509676
-0.07798622,0.5524954,-2.124707,-0.1396288,0.2570017,-2.51232
-0.07798622,0.5524954,-2.124707,-0.1396288,0.2570017,-2.51232
-0.07798622,0.5524954,-2.124707,-0.1396288,0.2570017,-2.51232
-0.07798622,0.5524954,-2.124707,-0.1396288,0.2570017,-2.51232
-0.1013745,0.5492356,-2.115441,-0.1414686,0.2525392,-2.508
-0.1013745,0.5492356,-2.115441,-0.1414686,0.2525392,-2.508
-0.118648,0.53495,-2.109662,-0.1433865,0.2454728,-2.50889
-0.118648,0.53495,-2.109662,-0.1433865,0.2454728,-2.50889
-0.1329762,0.5292358,-2.108261,-0.1416453,0.2811876,-2.51737
-0.1329762,0.5292358,-2.108261,-0.1416453,0.2811876,-2.51737
-0.1484769,0.5247064,-2.105279,-0.1406168,0.2940307,-2.523166
-0.1484769,0.5247064,-2.105279,-0.1406168,0.2940307,-2.523166
-0.1599671,0.5150979,-2.099208,-0.1398942,0.2991994,-2.524818
-0.1599671,0.5150979,-2.099208,-0.1398942,0.2991994,-2.524818
-0.1599671,0.5150979,-2.099208,-0.1398942,0.2991994,-2.524818
-0.1599671,0.5150979,-2.099208,-0.1398942,0.2991994,-2.524818
-0.1730333,0.501701,-2.089763,-0.1406573,0.2970944,-2.526237
-0.1730333,0.501701,-2.089763,-0.1406573,0.2970944,-2.526237
-0.1826881,0.4936383,-2.084568,-0.1403661,0.2956795,-2.525707
-0.1826881,0.4936383,-2.084568,-0.1403661,0.2956795,-2.525707
-0.1874697,0.4899856,-2.085753,-0.141496,0.2992388,-2.528369
-0.1874697,0.4899856,-2.085753,-0.141496,0.2992388,-2.528369
-0.1875136,0.4864967,-2.079963,-0.1435128,0.2961075,-2.52999
-0.1875136,0.4864967,-2.079963,-0.1435128,0.2961075,-2.52999
-0.1865789,0.4872236,-2.080119,-0.1446426,0.3034571,-2.533275
-0.1865789,0.4872236,-2.080119,-0.1446426,0.3034571,-2.533275
-0.1865789,0.4872236,-2.080119,-0.1446426,0.3034571,-2.533275
-0.1865789,0.4872236,-2.080119,-0.1446426,0.3034571,-2.533275
