Hand_L, , ,Hand_R, , 
-0.1121741,-0.0485699,-1.043397,0.2903027,-0.4663148,-1.478545
-0.1627609,-0.06511176,-1.097071,0.4064373,-0.429719,-1.325723
-0.1627609,-0.06511176,-1.097071,0.4064373,-0.429719,-1.325723
-0.1627609,-0.06511176,-1.097071,0.4064373,-0.429719,-1.325723
-0.1627609,-0.06511176,-1.097071,0.4064373,-0.429719,-1.325723
-0.1855388,-0.07115256,-1.123469,0.4601071,-0.3169717,-1.246684
-0.1855388,-0.07115256,-1.123469,0.4601071,-0.3169717,-1.246684
-0.2067674,-0.08328947,-1.156968,0.4818993,-0.2270019,-1.215083
-0.2067674,-0.08328947,-1.156968,0.4818993,-0.2270019,-1.215083
-0.2395782,-0.1004385,-1.224568,0.4695996,-0.2544671,-1.236834
-0.2395782,-0.1004385,-1.224568,0.4695996,-0.2544671,-1.236834
-0.2395782,-0.1004385,-1.224568,0.4695996,-0.2544671,-1.236834
-0.2395782,-0.1004385,-1.224568,0.4695996,-0.2544671,-1.236834
-0.2463625,-0.1087516,-1.260181,0.4541181,-0.2933367,-1.265254
-0.2463625,-0.1087516,-1.260181,0.4541181,-0.2933367,-1.265254
-0.2517388,-0.1155627,-1.298532,0.4385816,-0.3235338,-1.287468
-0.2517388,-0.1155627,-1.298532,0.4385816,-0.3235338,-1.287468
-0.2517388,-0.1155627,-1.298532,0.4385816,-0.3235338,-1.287468
