Hand_L, , ,Hand_R, , 
0.007332267,-0.04273928,-0.9526249,0.3939025,-0.1737622,-1.05821
-0.0297509,-0.01846942,-0.9641587,0.4308825,-0.1274727,-1.020564
-0.0297509,-0.01846942,-0.9641587,0.4308825,-0.1274727,-1.020564
-0.0297509,-0.01846942,-0.9641587,0.4308825,-0.1274727,-1.020564
-0.0297509,-0.01846942,-0.9641587,0.4308825,-0.1274727,-1.020564
-0.05006778,-0.01133317,-0.9755546,0.4447046,-0.09388705,-1.013248
-0.05006778,-0.01133317,-0.9755546,0.4447046,-0.09388705,-1.013248
-0.08386794,-0.002829084,-0.9896448,0.4880163,0.01365201,-1.02941
-0.08386794,-0.002829084,-0.9896448,0.4880163,0.01365201,-1.02941
-0.1125194,0.003008582,-1.007436,0.5094823,0.01634307,-1.047873
-0.1125194,0.003008582,-1.007436,0.5094823,0.01634307,-1.047873
-0.1125194,0.003008582,-1.007436,0.5094823,0.01634307,-1.047873
-0.1125194,0.003008582,-1.007436,0.5094823,0.01634307,-1.047873
-0.1641121,-0.006905969,-1.066234,0.5634538,0.01111929,-1.122666
-0.1641121,-0.006905969,-1.066234,0.5634538,0.01111929,-1.122666
-0.1865265,-0.009928653,-1.101053,0.5835922,0.005599186,-1.161472
-0.1865265,-0.009928653,-1.101053,0.5835922,0.005599186,-1.161472
-0.2142515,-0.01499403,-1.142706,0.6056584,-0.004528189,-1.197971
-0.2142515,-0.01499403,-1.142706,0.6056584,-0.004528189,-1.197971
-0.2142515,-0.01499403,-1.142706,0.6056584,-0.004528189,-1.197971
-0.2142515,-0.01499403,-1.142706,0.6056584,-0.004528189,-1.197971
-0.1013941,-0.06024618,-1.118662,0.6265401,-0.03286332,-1.289685
-0.1013941,-0.06024618,-1.118662,0.6265401,-0.03286332,-1.289685
-0.01292998,-0.1084246,-1.108806,0.6273145,-0.05245805,-1.338596
-0.01292998,-0.1084246,-1.108806,0.6273145,-0.05245805,-1.338596
