Hand_L, , ,Hand_R, , 
0.1340478,-0.4881475,-1.313211,0.2834159,-0.4236227,-1.379373
0.1340478,-0.4881475,-1.313211,0.2834159,-0.4236227,-1.379373
0.1399242,-0.488944,-1.30441,0.3633132,-0.3315721,-1.344962
0.1399242,-0.488944,-1.30441,0.3633132,-0.3315721,-1.344962
0.1431355,-0.4890071,-1.299326,0.3548762,-0.3733477,-1.349505
0.1431355,-0.4890071,-1.299326,0.3548762,-0.3733477,-1.349505
0.141939,-0.4884766,-1.299048,0.3589766,-0.3840841,-1.344414
0.141939,-0.4884766,-1.299048,0.3589766,-0.3840841,-1.344414
0.1264829,-0.4794975,-1.308531,0.3630263,-0.3972287,-1.335387
0.1264829,-0.4794975,-1.308531,0.3630263,-0.3972287,-1.335387
0.1264829,-0.4794975,-1.308531,0.3630263,-0.3972287,-1.335387
0.1264829,-0.4794975,-1.308531,0.3630263,-0.3972287,-1.335387
0.1218345,-0.4748316,-1.311419,0.3623732,-0.3988898,-1.335209
0.1218345,-0.4748316,-1.311419,0.3623732,-0.3988898,-1.335209
0.1189544,-0.4709243,-1.313931,0.3604932,-0.4003679,-1.336341
0.1189544,-0.4709243,-1.313931,0.3604932,-0.4003679,-1.336341
