Hand_L, , ,Hand_R, , 
-0.1825816,0.313525,-1.579693,-0.02665745,0.3071588,-1.550391
-0.1756527,0.3160704,-1.588051,-0.03206282,0.315089,-1.560977
-0.1756527,0.3160704,-1.588051,-0.03206282,0.315089,-1.560977
-0.1651281,0.3189355,-1.590315,-0.0422752,0.3177234,-1.569441
-0.1651281,0.3189355,-1.590315,-0.0422752,0.3177234,-1.569441
-0.1570262,0.3179661,-1.592119,-0.04891528,0.3140008,-1.572658
-0.1570262,0.3179661,-1.592119,-0.04891528,0.3140008,-1.572658
-0.1564321,0.31634,-1.592267,-0.06260913,0.3062083,-1.567799
-0.1564321,0.31634,-1.592267,-0.06260913,0.3062083,-1.567799
-0.1536277,0.3106182,-1.592899,-0.06774437,0.298422,-1.563611
-0.1536277,0.3106182,-1.592899,-0.06774437,0.298422,-1.563611
-0.1528868,0.3086531,-1.591961,-0.07017292,0.2940665,-1.561493
-0.1528868,0.3086531,-1.591961,-0.07017292,0.2940665,-1.561493
-0.151625,0.3040203,-1.586417,-0.07040557,0.293997,-1.561098
-0.151625,0.3040203,-1.586417,-0.07040557,0.293997,-1.561098
-0.1656029,0.3038385,-1.582145,-0.06740785,0.2956454,-1.559767
-0.1656029,0.3038385,-1.582145,-0.06740785,0.2956454,-1.559767
-0.2050386,0.3235648,-1.597194,-0.0425026,0.3129372,-1.553838
-0.2050386,0.3235648,-1.597194,-0.0425026,0.3129372,-1.553838
-0.2578916,0.3434246,-1.641516,0.006688338,0.3259904,-1.554296
-0.2578916,0.3434246,-1.641516,0.006688338,0.3259904,-1.554296
-0.325842,0.3547931,-1.703405,0.08373516,0.3293514,-1.566026
-0.325842,0.3547931,-1.703405,0.08373516,0.3293514,-1.566026
-0.3863819,0.3403221,-1.769487,0.160405,0.3125301,-1.602211
-0.3863819,0.3403221,-1.769487,0.160405,0.3125301,-1.602211
-0.4511294,0.2963002,-1.838126,0.237477,0.2640338,-1.637359
-0.4511294,0.2963002,-1.838126,0.237477,0.2640338,-1.637359
-0.4883821,0.2342948,-1.912594,0.2998066,0.1938613,-1.687778
-0.4883821,0.2342948,-1.912594,0.2998066,0.1938613,-1.687778
-0.5174442,0.1669103,-1.973588,0.3303275,0.1199082,-1.727995
-0.5174442,0.1669103,-1.973588,0.3303275,0.1199082,-1.727995
-0.4593135,0.08251944,-1.903864,0.3086969,0.0584035,-1.758999
-0.4593135,0.08251944,-1.903864,0.3086969,0.0584035,-1.758999
-0.4608302,0.05936351,-1.915228,0.3016301,0.0149034,-1.779325
-0.4608302,0.05936351,-1.915228,0.3016301,0.0149034,-1.779325
-0.4634124,0.05367428,-1.929483,0.2989708,0.0009893867,-1.79326
-0.4634124,0.05367428,-1.929483,0.2989708,0.0009893867,-1.79326
-0.4668647,0.05099043,-1.940202,0.3034738,0.003564592,-1.807353
-0.4668647,0.05099043,-1.940202,0.3034738,0.003564592,-1.807353
-0.4655092,0.05206589,-1.93848,0.3137669,0.00370671,-1.812476
-0.4655092,0.05206589,-1.93848,0.3137669,0.00370671,-1.812476
-0.4641707,0.05310141,-1.936982,0.314921,0.007316761,-1.815573
-0.4641707,0.05310141,-1.936982,0.314921,0.007316761,-1.815573
-0.4640251,0.05295366,-1.935979,0.323399,0.01322332,-1.81857
-0.4640251,0.05295366,-1.935979,0.323399,0.01322332,-1.81857
-0.4640251,0.05295366,-1.935979,0.3288174,0.01529187,-1.820721
-0.4646646,0.05407164,-1.930471,0.3288174,0.01529187,-1.820721
-0.4646646,0.05407164,-1.930471,0.3288174,0.01529187,-1.820721
-0.4639372,0.05129667,-1.925339,0.3304751,0.005598267,-1.811937
-0.4639372,0.05129667,-1.925339,0.3304751,0.005598267,-1.811937
