Hand_R, , ,Shoulder_R, , 
0.1819068,0.5140291,-2.075266,0.0994184,0.2942293,-2.550108
0.1819068,0.5140291,-2.075266,0.0994184,0.2942293,-2.550108
0.1462671,0.5285243,-2.080005,0.0979327,0.3020406,-2.555016
0.1462671,0.5285243,-2.080005,0.0979327,0.3020406,-2.555016
0.1156718,0.5345281,-2.077685,0.0989363,0.3011781,-2.557718
0.1156718,0.5345281,-2.077685,0.0989363,0.3011781,-2.557718
0.08224005,0.5412643,-2.083166,0.1022849,0.2940855,-2.5604
0.08224005,0.5412643,-2.083166,0.1022849,0.2940855,-2.5604
0.05487015,0.5415726,-2.088537,0.1051698,0.2935016,-2.562831
0.05487015,0.5415726,-2.088537,0.1051698,0.2935016,-2.562831
0.02813134,0.5368366,-2.095159,0.1056598,0.2957897,-2.56714
0.02813134,0.5368366,-2.095159,0.1056598,0.2957897,-2.56714
0.02813134,0.5368366,-2.095159,0.1056598,0.2957897,-2.56714
0.02813134,0.5368366,-2.095159,0.1056598,0.2957897,-2.56714
0.004513229,0.5287747,-2.093691,0.1008186,0.2917621,-2.564433
0.004513229,0.5287747,-2.093691,0.1008186,0.2917621,-2.564433
-0.01038506,0.5199277,-2.099631,0.09684568,0.2722746,-2.559496
-0.01038506,0.5199277,-2.099631,0.09684568,0.2722746,-2.559496
-0.02201613,0.5113565,-2.102711,0.09272213,0.2606224,-2.558257
-0.02201613,0.5113565,-2.102711,0.09272213,0.2606224,-2.558257
-0.02201613,0.5113565,-2.102711,0.09272213,0.2606224,-2.558257
-0.03057323,0.5074385,-2.098712,0.08975382,0.258692,-2.559093
-0.03057323,0.5074385,-2.098712,0.08975382,0.258692,-2.559093
