Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.5672169,-0.1702082,-2.488623,-0.3565036,0.001818485,-2.59315,-0.1553545,0.2107022,-2.637571,0.01246231,-0.009486992,-2.637946
-0.6216912,-0.1100541,-2.459867,-0.3909716,0.02803252,-2.575783,-0.1574299,0.2105938,-2.643011,0.01064898,-0.009237598,-2.635661
-0.6216912,-0.1100541,-2.459867,-0.3909716,0.02803252,-2.575783,-0.1574299,0.2105938,-2.643011,0.01064898,-0.009237598,-2.635661
-0.6693748,-0.03276705,-2.432581,-0.4200843,0.06677513,-2.555035,-0.1584222,0.2154705,-2.647036,0.008478715,-0.0050337,-2.634588
-0.6693748,-0.03276705,-2.432581,-0.4200843,0.06677513,-2.555035,-0.1584222,0.2154705,-2.647036,0.008478715,-0.0050337,-2.634588
-0.6693748,-0.03276705,-2.432581,-0.4200843,0.06677513,-2.555035,-0.1584222,0.2154705,-2.647036,0.008478715,-0.0050337,-2.634588
-0.6693748,-0.03276705,-2.432581,-0.4200843,0.06677513,-2.555035,-0.1584222,0.2154705,-2.647036,0.008478715,-0.0050337,-2.634588
-0.7031646,0.05250288,-2.396953,-0.4412763,0.1117128,-2.528375,-0.1567994,0.2110578,-2.629927,0.008041314,-0.01091494,-2.637603
-0.7031646,0.05250288,-2.396953,-0.4412763,0.1117128,-2.528375,-0.1567994,0.2110578,-2.629927,0.008041314,-0.01091494,-2.637603
-0.7199454,0.1353502,-2.37829,-0.4507743,0.1546763,-2.514024,-0.1586557,0.2157862,-2.63072,0.005599188,-0.006822895,-2.638956
-0.7199454,0.1353502,-2.37829,-0.4507743,0.1546763,-2.514024,-0.1586557,0.2157862,-2.63072,0.005599188,-0.006822895,-2.638956
-0.7098086,0.2235772,-2.365304,-0.4434069,0.2166781,-2.510804,-0.1610918,0.2132691,-2.62421,0.002858844,-0.009324025,-2.638205
-0.7098086,0.2235772,-2.365304,-0.4434069,0.2166781,-2.510804,-0.1610918,0.2132691,-2.62421,0.002858844,-0.009324025,-2.638205
-0.7098086,0.2235772,-2.365304,-0.4434069,0.2166781,-2.510804,-0.1610918,0.2132691,-2.62421,0.002858844,-0.009324025,-2.638205
-0.7098086,0.2235772,-2.365304,-0.4434069,0.2166781,-2.510804,-0.1610918,0.2132691,-2.62421,0.002858844,-0.009324025,-2.638205
-0.7098086,0.2235772,-2.365304,-0.4434069,0.2166781,-2.510804,-0.1610918,0.2132691,-2.62421,0.007061325,-0.009602577,-2.63943
-0.6963475,0.3141084,-2.354286,-0.4372791,0.2586969,-2.5017,-0.1598932,0.210369,-2.620405,0.007061325,-0.009602577,-2.63943
