Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.6491954,0.5093088,-2.38775,-0.4080975,0.3644561,-2.516735,-0.1472679,0.2398964,-2.646415,0.01246876,0.01413321,-2.642741
-0.5988906,0.577198,-2.381099,-0.3892307,0.3920058,-2.507616,-0.1412779,0.2695839,-2.652401,0.01593553,0.04186815,-2.647714
-0.5988906,0.577198,-2.381099,-0.3892307,0.3920058,-2.507616,-0.1412779,0.2695839,-2.652401,0.01593553,0.04186815,-2.647714
-0.5988906,0.577198,-2.381099,-0.3892307,0.3920058,-2.507616,-0.1412779,0.2695839,-2.652401,0.01593553,0.04186815,-2.647714
-0.5988906,0.577198,-2.381099,-0.3892307,0.3920058,-2.507616,-0.1412779,0.2695839,-2.652401,0.01593553,0.04186815,-2.647714
-0.539279,0.6373931,-2.365345,-0.3660171,0.4223393,-2.502707,-0.1451108,0.2566502,-2.640729,0.01447305,0.03050261,-2.643267
-0.539279,0.6373931,-2.365345,-0.3660171,0.4223393,-2.502707,-0.1451108,0.2566502,-2.640729,0.01447305,0.03050261,-2.643267
-0.539279,0.6373931,-2.365345,-0.3660171,0.4223393,-2.502707,-0.1451108,0.2566502,-2.640729,0.01447305,0.03050261,-2.643267
-0.4796965,0.6868684,-2.365071,-0.338574,0.4489596,-2.504898,-0.1527404,0.2376198,-2.635626,0.008736116,0.01280588,-2.638853
-0.4796965,0.6868684,-2.365071,-0.338574,0.4489596,-2.504898,-0.1527404,0.2376198,-2.635626,0.008736116,0.01280588,-2.638853
-0.3964287,0.7049502,-2.356243,-0.31303,0.4526888,-2.509884,-0.1537971,0.2312752,-2.63665,0.008029657,0.006651594,-2.637243
-0.3964287,0.7049502,-2.356243,-0.31303,0.4526888,-2.509884,-0.1537971,0.2312752,-2.63665,0.008029657,0.006651594,-2.637243
-0.3224331,0.7153972,-2.349102,-0.2942932,0.4528613,-2.504762,-0.1556535,0.2332803,-2.644636,0.006486267,0.008937981,-2.639717
-0.3224331,0.7153972,-2.349102,-0.2942932,0.4528613,-2.504762,-0.1556535,0.2332803,-2.644636,0.006486267,0.008937981,-2.639717
-0.3224331,0.7153972,-2.349102,-0.2942932,0.4528613,-2.504762,-0.1556535,0.2332803,-2.644636,0.006486267,0.008937981,-2.639717
-0.3224331,0.7153972,-2.349102,-0.2942932,0.4528613,-2.504762,-0.1556535,0.2332803,-2.644636,0.006486267,0.008937981,-2.639717
-0.2391652,0.7230508,-2.346387,-0.2771429,0.4630493,-2.502497,-0.1536424,0.2346315,-2.645233,0.007681844,0.009715735,-2.63909
-0.2391652,0.7230508,-2.346387,-0.2771429,0.4630493,-2.502497,-0.1536424,0.2346315,-2.645233,0.007681844,0.009715735,-2.63909
-0.1661077,0.7152435,-2.349607,-0.2574503,0.466271,-2.502994,-0.1545465,0.2287334,-2.638154,0.008919585,0.005319543,-2.638341
-0.1661077,0.7152435,-2.349607,-0.2574503,0.466271,-2.502994,-0.1545465,0.2287334,-2.638154,0.008919585,0.005319543,-2.638341
-0.1011246,0.7002998,-2.366814,-0.2454619,0.4667745,-2.49946,-0.1550613,0.2248863,-2.637525,0.009971481,0.002600595,-2.638954
-0.1011246,0.7002998,-2.366814,-0.2454619,0.4667745,-2.49946,-0.1550613,0.2248863,-2.637525,0.009971481,0.002600595,-2.638954
-0.03661734,0.6729409,-2.37428,-0.228622,0.4704568,-2.495467,-0.1531079,0.2230549,-2.635219,0.01348831,0.001984399,-2.639959
-0.03661734,0.6729409,-2.37428,-0.228622,0.4704568,-2.495467,-0.1531079,0.2230549,-2.635219,0.01348831,0.001984399,-2.639959
-0.03661734,0.6729409,-2.37428,-0.228622,0.4704568,-2.495467,-0.1531079,0.2230549,-2.635219,0.01348831,0.001984399,-2.639959
-0.03661734,0.6729409,-2.37428,-0.228622,0.4704568,-2.495467,-0.1531079,0.2230549,-2.635219,0.01348831,0.001984399,-2.639959
0.01432664,0.6334462,-2.395751,-0.2178607,0.4652793,-2.492917,-0.152081,0.2178968,-2.631181,0.01428756,-0.003287352,-2.63778
0.01432664,0.6334462,-2.395751,-0.2178607,0.4652793,-2.492917,-0.152081,0.2178968,-2.631181,0.01428756,-0.003287352,-2.63778
0.05347897,0.5967284,-2.413328,-0.2056787,0.4649498,-2.492926,-0.1535341,0.220563,-2.635627,0.01213235,-0.001203097,-2.640292
0.05347897,0.5967284,-2.413328,-0.2056787,0.4649498,-2.492926,-0.1535341,0.220563,-2.635627,0.01213235,-0.001203097,-2.640292
0.08853844,0.5624243,-2.424149,-0.1886327,0.4664042,-2.489438,-0.1517886,0.2166993,-2.63405,0.01286541,-0.005827297,-2.638821
0.08853844,0.5624243,-2.424149,-0.1886327,0.4664042,-2.489438,-0.1517886,0.2166993,-2.63405,0.01286541,-0.005827297,-2.638821
0.105444,0.533061,-2.440031,-0.1820808,0.4661333,-2.483384,-0.1536866,0.2066695,-2.626977,0.01129077,-0.0153963,-2.63676
0.105444,0.533061,-2.440031,-0.1820808,0.4661333,-2.483384,-0.1536866,0.2066695,-2.626977,0.01129077,-0.0153963,-2.63676
