1248.826782,1309.555786,1310.279541,1351.090332,1418.602051,1433.809326,1349.793945,1448.895020,1434.471558,1361.655396
1241.614990,1303.438721,1309.605347,1348.205811,1418.299072,1433.366821,1330.880737,1448.055420,1425.242310,1350.018799
1235.326172,1295.622314,1308.106689,1345.656860,1416.399658,1430.108643,1315.530884,1445.387329,1416.677856,1332.842896
1225.804565,1286.682861,1304.128296,1339.472168,1413.869019,1426.499146,1298.067139,1444.998169,1405.392456,1330.792114
1208.024414,1273.708984,1297.589722,1329.116455,1412.726685,1421.044678,1288.258301,1442.325806,1388.587280,1318.930054
1187.455688,1259.854004,1289.878662,1312.284424,1408.539795,1411.025635,1275.184204,1437.817261,1370.240845,1309.485107
1172.413330,1239.840698,1274.323853,1291.008179,1403.687744,1395.707520,1263.898438,1431.149902,1356.251465,1298.652710
1171.807983,1216.470093,1254.161987,1280.644775,1394.001587,1376.850708,1247.897827,1420.332642,1334.231079,1307.382080
1170.015747,1201.769165,1232.083618,1265.008667,1381.484375,1360.218262,1234.868652,1403.595093,1325.060791,1302.384155
1149.546997,1196.499512,1208.494873,1240.752808,1360.224854,1340.601807,1246.354980,1383.659058,1309.883057,1306.813599
