Hand_L, , ,Shoulder_L, , 
-0.2001942,0.70408,-2.290172,-0.2123944,0.2910412,-2.60595
-0.1728646,0.6875952,-2.304438,-0.2241292,0.3095879,-2.612427
-0.1728646,0.6875952,-2.304438,-0.2241292,0.3095879,-2.612427
-0.1437621,0.6881573,-2.331111,-0.2275756,0.3126573,-2.611076
-0.1437621,0.6881573,-2.331111,-0.2275756,0.3126573,-2.611076
-0.1245755,0.6884822,-2.354749,-0.2281542,0.314831,-2.610874
-0.1245755,0.6884822,-2.354749,-0.2281542,0.314831,-2.610874
-0.1019402,0.6761547,-2.362198,-0.2295333,0.3163605,-2.612175
-0.1019402,0.6761547,-2.362198,-0.2295333,0.3163605,-2.612175
-0.1019402,0.6761547,-2.362198,-0.2295333,0.3163605,-2.612175
-0.1019402,0.6761547,-2.362198,-0.2295333,0.3163605,-2.612175
-0.09412772,0.6690468,-2.359853,-0.2290894,0.3165979,-2.615023
