Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.1056591,-0.1721382,-2.310473,0.2089882,0.04473741,-2.47301,0.1457901,0.2990645,-2.561491
0.05137561,-0.1285985,-2.295236,0.1979769,0.05111711,-2.465307,0.146367,0.2997553,-2.562441
0.05137561,-0.1285985,-2.295236,0.1979769,0.05111711,-2.465307,0.146367,0.2997553,-2.562441
0.01923321,-0.09324346,-2.283979,0.1896802,0.05715138,-2.45863,0.1468457,0.300406,-2.563017
0.01923321,-0.09324346,-2.283979,0.1896802,0.05715138,-2.45863,0.1468457,0.300406,-2.563017
-0.01883965,-0.03248984,-2.254071,0.1795979,0.06432164,-2.447556,0.1472379,0.3010012,-2.563519
-0.01883965,-0.03248984,-2.254071,0.1795979,0.06432164,-2.447556,0.1472379,0.3010012,-2.563519
-0.01883965,-0.03248984,-2.254071,0.1795979,0.06432164,-2.447556,0.1472379,0.3010012,-2.563519
-0.01883965,-0.03248984,-2.254071,0.1795979,0.06432164,-2.447556,0.1472379,0.3010012,-2.563519
-0.05673881,0.04061664,-2.21599,0.1612945,0.08098716,-2.419328,0.1473055,0.3011083,-2.563571
-0.05673881,0.04061664,-2.21599,0.1612945,0.08098716,-2.419328,0.1473055,0.3011083,-2.563571
-0.0737811,0.1101487,-2.186084,0.147369,0.09866884,-2.393576,0.1473244,0.3011649,-2.563523
-0.0737811,0.1101487,-2.186084,0.147369,0.09866884,-2.393576,0.1473244,0.3011649,-2.563523
-0.0737811,0.1101487,-2.186084,0.147369,0.09866884,-2.393576,0.1473244,0.3011649,-2.563523
-0.0737811,0.1101487,-2.186084,0.147369,0.09866884,-2.393576,0.1473244,0.3011649,-2.563523
-0.08499224,0.1997938,-2.158269,0.1307587,0.1227183,-2.358784,0.1473244,0.3011684,-2.563405
-0.08499224,0.1997938,-2.158269,0.1307587,0.1227183,-2.358784,0.1473244,0.3011684,-2.563405
-0.08499224,0.1997938,-2.158269,0.1307587,0.1227183,-2.358784,0.1473244,0.3011684,-2.563405
-0.0805602,0.2591229,-2.144469,0.1228657,0.1433286,-2.335105,0.1472637,0.3011121,-2.56318
-0.0805602,0.2591229,-2.144469,0.1228657,0.1433286,-2.335105,0.1472637,0.3011121,-2.56318
-0.0805602,0.2591229,-2.144469,0.1228657,0.1433286,-2.335105,0.1472637,0.3011121,-2.56318
-0.0805602,0.2591229,-2.144469,0.1228657,0.1433286,-2.335105,0.1472637,0.3011121,-2.56318
-0.06984412,0.3055744,-2.138633,0.1211304,0.1627144,-2.318294,0.1471869,0.301175,-2.562857
-0.06984412,0.3055744,-2.138633,0.1211304,0.1627144,-2.318294,0.1471869,0.301175,-2.562857
-0.05384408,0.351703,-2.136338,0.1232488,0.1830725,-2.305193,0.1471559,0.3012384,-2.562705
-0.05384408,0.351703,-2.136338,0.1232488,0.1830725,-2.305193,0.1471559,0.3012384,-2.562705
-0.03362704,0.3986768,-2.136582,0.1283903,0.2032076,-2.29284,0.1471305,0.3012711,-2.562639
-0.03362704,0.3986768,-2.136582,0.1283903,0.2032076,-2.29284,0.1471305,0.3012711,-2.562639
-0.03362704,0.3986768,-2.136582,0.1283903,0.2032076,-2.29284,0.1471305,0.3012711,-2.562639
-0.03362704,0.3986768,-2.136582,0.1283903,0.2032076,-2.29284,0.1471305,0.3012711,-2.562639
-0.01460676,0.4349104,-2.136676,0.1356082,0.2227081,-2.28207,0.1469005,0.301591,-2.562523
-0.01460676,0.4349104,-2.136676,0.1356082,0.2227081,-2.28207,0.1469005,0.301591,-2.562523
0.008611429,0.4650804,-2.136992,0.1415569,0.2355849,-2.275387,0.14681,0.3016291,-2.562427
0.008611429,0.4650804,-2.136992,0.1415569,0.2355849,-2.275387,0.14681,0.3016291,-2.562427
0.0273784,0.4834284,-2.13743,0.1506749,0.2473803,-2.270702,0.1467573,0.301616,-2.562386
0.0273784,0.4834284,-2.13743,0.1506749,0.2473803,-2.270702,0.1467573,0.301616,-2.562386
0.0273784,0.4834284,-2.13743,0.1506749,0.2473803,-2.270702,0.1467573,0.301616,-2.562386
0.0273784,0.4834284,-2.13743,0.1506749,0.2473803,-2.270702,0.1467573,0.301616,-2.562386
0.0442478,0.4964194,-2.140165,0.1583731,0.2549816,-2.268412,0.1467519,0.3016117,-2.562379
0.0442478,0.4964194,-2.140165,0.1583731,0.2549816,-2.268412,0.1467519,0.3016117,-2.562379
0.06351023,0.5084434,-2.142092,0.1675417,0.2620648,-2.265675,0.1467475,0.3016115,-2.562376
0.06351023,0.5084434,-2.142092,0.1675417,0.2620648,-2.265675,0.1467475,0.3016115,-2.562376
0.06351023,0.5084434,-2.142092,0.1675417,0.2620648,-2.265675,0.1467475,0.3016115,-2.562376
0.06351023,0.5084434,-2.142092,0.1675417,0.2620648,-2.265675,0.1467475,0.3016115,-2.562376
0.08011837,0.5142002,-2.139842,0.1767205,0.2677339,-2.264269,0.1467351,0.3016038,-2.562336
0.08011837,0.5142002,-2.139842,0.1767205,0.2677339,-2.264269,0.1467351,0.3016038,-2.562336
0.09888635,0.5183209,-2.137239,0.183018,0.2709661,-2.264267,0.1467322,0.3015982,-2.562328
