Hand_R, , ,Elbow_R, , ,Body, , 
0.2266192,0.3839528,-1.669183,0.1992074,0.1372988,-1.817489,-0.09759191,-0.2576206,-2.072292
0.2221711,0.3814215,-1.66921,0.20047,0.1363568,-1.819956,-0.09745026,-0.2562599,-2.072453
0.2221711,0.3814215,-1.66921,0.20047,0.1363568,-1.819956,-0.09745026,-0.2562599,-2.072453
0.2255347,0.3792069,-1.670271,0.2001692,0.1360847,-1.824274,-0.09819085,-0.2593027,-2.072676
0.2255347,0.3792069,-1.670271,0.2001692,0.1360847,-1.824274,-0.09819085,-0.2593027,-2.072676
0.2255347,0.3792069,-1.670271,0.2001692,0.1360847,-1.824274,-0.09819085,-0.2593027,-2.072676
0.2255347,0.3792069,-1.670271,0.2001692,0.1360847,-1.824274,-0.09819085,-0.2593027,-2.072676
0.223414,0.3792521,-1.669851,0.200039,0.1353131,-1.82348,-0.09737416,-0.2593651,-2.07323
0.223414,0.3792521,-1.669851,0.200039,0.1353131,-1.82348,-0.09737416,-0.2593651,-2.07323
0.2271836,0.3824798,-1.670784,0.2000185,0.1378866,-1.822421,-0.09671975,-0.2596325,-2.074022
0.2271836,0.3824798,-1.670784,0.2000185,0.1378866,-1.822421,-0.09671975,-0.2596325,-2.074022
0.2271836,0.3824798,-1.670784,0.2000185,0.1378866,-1.822421,-0.09671975,-0.2596325,-2.074022
0.2271836,0.3824798,-1.670784,0.2000185,0.1378866,-1.822421,-0.09671975,-0.2596325,-2.074022
0.2294514,0.3829786,-1.669918,0.2000143,0.1373189,-1.820693,-0.09698812,-0.2600619,-2.072947
0.2294514,0.3829786,-1.669918,0.2000143,0.1373189,-1.820693,-0.09698812,-0.2600619,-2.072947
0.2294514,0.3829786,-1.669918,0.2000143,0.1373189,-1.820693,-0.09698812,-0.2600619,-2.072947
0.2294514,0.3829786,-1.669918,0.2000143,0.1373189,-1.820693,-0.09698812,-0.2600619,-2.072947
0.2310779,0.3840241,-1.671082,0.2000033,0.1370817,-1.822974,-0.09733577,-0.2588183,-2.074449
0.2310779,0.3840241,-1.671082,0.2000033,0.1370817,-1.822974,-0.09733577,-0.2588183,-2.074449
0.2313236,0.3840622,-1.669899,0.199998,0.1363117,-1.822342,-0.0962505,-0.2584484,-2.075893
0.2313236,0.3840622,-1.669899,0.199998,0.1363117,-1.822342,-0.0962505,-0.2584484,-2.075893
0.2313236,0.3840622,-1.669899,0.199998,0.1363117,-1.822342,-0.0962505,-0.2584484,-2.075893
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.2384474,0.383844,-1.673534,0.2007076,0.1381864,-1.824913,-0.09725403,-0.2584049,-2.0753
0.25035,0.3871363,-1.679439,0.2072881,0.1409204,-1.825757,-0.09897295,-0.2592085,-2.073552
0.2675722,0.3862745,-1.686004,0.2192647,0.1396215,-1.830897,-0.09723703,-0.2574721,-2.07233
0.2675722,0.3862745,-1.686004,0.2192647,0.1396215,-1.830897,-0.09723703,-0.2574721,-2.07233
0.2675722,0.3862745,-1.686004,0.2192647,0.1396215,-1.830897,-0.09723703,-0.2574721,-2.07233
0.2989601,0.3871248,-1.694762,0.2412587,0.1377394,-1.834624,-0.09813074,-0.2596102,-2.073332
0.2989601,0.3871248,-1.694762,0.2412587,0.1377394,-1.834624,-0.09813074,-0.2596102,-2.073332
0.2989601,0.3871248,-1.694762,0.2412587,0.1377394,-1.834624,-0.09813074,-0.2596102,-2.073332
0.2989601,0.3871248,-1.694762,0.2412587,0.1377394,-1.834624,-0.09813074,-0.2596102,-2.073332
0.3528605,0.3686098,-1.710038,0.263521,0.1237546,-1.844841,-0.09829345,-0.2611493,-2.07268
0.3528605,0.3686098,-1.710038,0.263521,0.1237546,-1.844841,-0.09829345,-0.2611493,-2.07268
0.3528605,0.3686098,-1.710038,0.263521,0.1237546,-1.844841,-0.09829345,-0.2611493,-2.07268
0.390807,0.3437597,-1.71603,0.2778436,0.1073337,-1.852277,-0.09716166,-0.2607074,-2.073103
0.390807,0.3437597,-1.71603,0.2778436,0.1073337,-1.852277,-0.09716166,-0.2607074,-2.073103
0.390807,0.3437597,-1.71603,0.2778436,0.1073337,-1.852277,-0.09716166,-0.2607074,-2.073103
0.390807,0.3437597,-1.71603,0.2778436,0.1073337,-1.852277,-0.09716166,-0.2607074,-2.073103
0.4529194,0.2896601,-1.7221,0.3023074,0.0798649,-1.862857,-0.09856462,-0.2606157,-2.071489
0.4529194,0.2896601,-1.7221,0.3023074,0.0798649,-1.862857,-0.09856462,-0.2606157,-2.071489
0.4912924,0.2375131,-1.727965,0.3125946,0.05526467,-1.870991,-0.09790172,-0.262362,-2.071521
0.4912924,0.2375131,-1.727965,0.3125946,0.05526467,-1.870991,-0.09790172,-0.262362,-2.071521
0.4912924,0.2375131,-1.727965,0.3125946,0.05526467,-1.870991,-0.09790172,-0.262362,-2.071521
0.4912924,0.2375131,-1.727965,0.3125946,0.05526467,-1.870991,-0.09790172,-0.262362,-2.071521
0.5394755,0.1482653,-1.734321,0.3328927,0.00788338,-1.881742,-0.0997873,-0.2613669,-2.071773
0.5394755,0.1482653,-1.734321,0.3328927,0.00788338,-1.881742,-0.0997873,-0.2613669,-2.071773
0.5394755,0.1482653,-1.734321,0.3328927,0.00788338,-1.881742,-0.0997873,-0.2613669,-2.071773
0.5394755,0.1482653,-1.734321,0.3328927,0.00788338,-1.881742,-0.0997873,-0.2613669,-2.071773
0.5814206,0.02854706,-1.734048,0.3476017,-0.0504034,-1.886421,-0.1007095,-0.2604475,-2.073143
0.5814206,0.02854706,-1.734048,0.3476017,-0.0504034,-1.886421,-0.1007095,-0.2604475,-2.073143
0.5800783,-0.0545915,-1.725769,0.3461465,-0.09254027,-1.892592,-0.09937561,-0.2577389,-2.075159
0.5800783,-0.0545915,-1.725769,0.3461465,-0.09254027,-1.892592,-0.09937561,-0.2577389,-2.075159
0.5800783,-0.0545915,-1.725769,0.3461465,-0.09254027,-1.892592,-0.09937561,-0.2577389,-2.075159
0.5800783,-0.0545915,-1.725769,0.3461465,-0.09254027,-1.892592,-0.09937561,-0.2577389,-2.075159
0.5659882,-0.1794745,-1.729979,0.3354122,-0.1496928,-1.899391,-0.09738884,-0.2597588,-2.076131
0.5659882,-0.1794745,-1.729979,0.3354122,-0.1496928,-1.899391,-0.09738884,-0.2597588,-2.076131
0.5311582,-0.2634369,-1.728915,0.3172117,-0.1908839,-1.905646,-0.09694439,-0.2594175,-2.075645
0.5311582,-0.2634369,-1.728915,0.3172117,-0.1908839,-1.905646,-0.09694439,-0.2594175,-2.075645
0.5311582,-0.2634369,-1.728915,0.3172117,-0.1908839,-1.905646,-0.09694439,-0.2594175,-2.075645
0.5311582,-0.2634369,-1.728915,0.3172117,-0.1908839,-1.905646,-0.09694439,-0.2594175,-2.075645
0.4684751,-0.3697203,-1.725658,0.2869535,-0.2407133,-1.903944,-0.0930117,-0.2634343,-2.072905
0.4684751,-0.3697203,-1.725658,0.2869535,-0.2407133,-1.903944,-0.0930117,-0.2634343,-2.072905
0.4684751,-0.3697203,-1.725658,0.2869535,-0.2407133,-1.903944,-0.0930117,-0.2634343,-2.072905
0.4684751,-0.3697203,-1.725658,0.2869535,-0.2407133,-1.903944,-0.0930117,-0.2634343,-2.072905
