Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
-0.4500048,0.3500303,-2.078587,-0.2789183,0.2654394,-2.273367,-0.04061965,0.2932258,-2.484543
-0.4500048,0.3500303,-2.078587,-0.2789183,0.2654394,-2.273367,-0.04061965,0.2932258,-2.484543
-0.4780774,0.2793384,-2.100622,-0.2825457,0.2466186,-2.283648,-0.04102509,0.2935542,-2.484823
-0.4780774,0.2793384,-2.100622,-0.2825457,0.2466186,-2.283648,-0.04102509,0.2935542,-2.484823
-0.4864741,0.2071154,-2.114371,-0.2853798,0.2293898,-2.294359,-0.04137751,0.293701,-2.484955
-0.4864741,0.2071154,-2.114371,-0.2853798,0.2293898,-2.294359,-0.04137751,0.293701,-2.484955
-0.4864741,0.2071154,-2.114371,-0.2853798,0.2293898,-2.294359,-0.04137751,0.293701,-2.484955
-0.4864741,0.2071154,-2.114371,-0.2853798,0.2293898,-2.294359,-0.04137751,0.293701,-2.484955
-0.4843612,0.1332194,-2.129969,-0.2863763,0.2028129,-2.307549,-0.04163018,0.2939215,-2.48503
-0.4843612,0.1332194,-2.129969,-0.2863763,0.2028129,-2.307549,-0.04163018,0.2939215,-2.48503
-0.4781294,0.07336187,-2.155253,-0.283006,0.1738979,-2.326252,-0.04183894,0.2941569,-2.485106
-0.4781294,0.07336187,-2.155253,-0.283006,0.1738979,-2.326252,-0.04183894,0.2941569,-2.485106
-0.4648951,0.01252244,-2.176492,-0.2751372,0.1432644,-2.34179,-0.04198342,0.2943288,-2.485193
-0.4648951,0.01252244,-2.176492,-0.2751372,0.1432644,-2.34179,-0.04198342,0.2943288,-2.485193
-0.447062,-0.03682428,-2.19384,-0.2654934,0.1190779,-2.352974,-0.04212122,0.2944911,-2.485286
-0.447062,-0.03682428,-2.19384,-0.2654934,0.1190779,-2.352974,-0.04212122,0.2944911,-2.485286
-0.4131556,-0.08948059,-2.206904,-0.2546979,0.09739,-2.363239,-0.04219867,0.2945668,-2.485335
-0.4131556,-0.08948059,-2.206904,-0.2546979,0.09739,-2.363239,-0.04219867,0.2945668,-2.485335
-0.4131556,-0.08948059,-2.206904,-0.2546979,0.09739,-2.363239,-0.04219867,0.2945668,-2.485335
-0.4131556,-0.08948059,-2.206904,-0.2546979,0.09739,-2.363239,-0.04219867,0.2945668,-2.485335
-0.3719998,-0.1362919,-2.217891,-0.2373409,0.07457498,-2.371713,-0.04227688,0.294583,-2.48534
-0.3719998,-0.1362919,-2.217891,-0.2373409,0.07457498,-2.371713,-0.04227688,0.294583,-2.48534
-0.3719998,-0.1362919,-2.217891,-0.2373409,0.07457498,-2.371713,-0.04227688,0.294583,-2.48534
-0.3719998,-0.1362919,-2.217891,-0.2373409,0.07457498,-2.371713,-0.04227688,0.294583,-2.48534
-0.3719998,-0.1362919,-2.217891,-0.2373409,0.07457498,-2.371713,-0.04227688,0.294583,-2.48534
-0.3337936,-0.1702842,-2.22521,-0.2210001,0.054688,-2.38016,-0.04255038,0.2947305,-2.485376
-0.3337936,-0.1702842,-2.22521,-0.2210001,0.054688,-2.38016,-0.04255038,0.2947305,-2.485376
-0.2688754,-0.2039005,-2.232576,-0.2037415,0.04168188,-2.385291,-0.04282674,0.2948866,-2.485538
-0.2688754,-0.2039005,-2.232576,-0.2037415,0.04168188,-2.385291,-0.04282674,0.2948866,-2.485538
-0.2121303,-0.2210937,-2.23102,-0.1860211,0.03178111,-2.387578,-0.04310049,0.2952006,-2.485627
-0.2121303,-0.2210937,-2.23102,-0.1860211,0.03178111,-2.387578,-0.04310049,0.2952006,-2.485627
-0.1383387,-0.2304057,-2.22499,-0.1631755,0.02339653,-2.387872,-0.04317436,0.29525,-2.485599
-0.1383387,-0.2304057,-2.22499,-0.1631755,0.02339653,-2.387872,-0.04317436,0.29525,-2.485599
-0.07293633,-0.2237585,-2.227431,-0.1437497,0.02190974,-2.385975,-0.04321755,0.2952883,-2.485593
-0.07293633,-0.2237585,-2.227431,-0.1437497,0.02190974,-2.385975,-0.04321755,0.2952883,-2.485593
-0.01859013,-0.2130387,-2.220307,-0.1249992,0.02074713,-2.381984,-0.04329353,0.2953032,-2.485535
-0.01859013,-0.2130387,-2.220307,-0.1249992,0.02074713,-2.381984,-0.04329353,0.2953032,-2.485535
-0.01859013,-0.2130387,-2.220307,-0.1249992,0.02074713,-2.381984,-0.04329353,0.2953032,-2.485535
-0.01859013,-0.2130387,-2.220307,-0.1249992,0.02074713,-2.381984,-0.04329353,0.2953032,-2.485535
0.03830935,-0.1869647,-2.219608,-0.110774,0.02327964,-2.378613,-0.04336491,0.2953487,-2.485479
0.03830935,-0.1869647,-2.219608,-0.110774,0.02327964,-2.378613,-0.04336491,0.2953487,-2.485479
0.09176699,-0.1568562,-2.211703,-0.08889153,0.02732588,-2.372098,-0.04352453,0.2954877,-2.485369
0.09176699,-0.1568562,-2.211703,-0.08889153,0.02732588,-2.372098,-0.04352453,0.2954877,-2.485369
0.1575187,-0.1143127,-2.198012,-0.06063554,0.03409349,-2.357289,-0.04367113,0.2956527,-2.48525
0.1575187,-0.1143127,-2.198012,-0.06063554,0.03409349,-2.357289,-0.04367113,0.2956527,-2.48525
0.1871728,-0.08828849,-2.191082,-0.0417781,0.04120674,-2.34626,-0.04398888,0.2961828,-2.484919
0.1871728,-0.08828849,-2.191082,-0.0417781,0.04120674,-2.34626,-0.04398888,0.2961828,-2.484919
0.1871728,-0.08828849,-2.191082,-0.0417781,0.04120674,-2.34626,-0.04398888,0.2961828,-2.484919
0.1871728,-0.08828849,-2.191082,-0.0417781,0.04120674,-2.34626,-0.04398888,0.2961828,-2.484919
