Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.15332,-0.008512037,-2.16358,0.09428022,0.4239172,-2.151996,-0.1765826,0.3043844,-2.561023,0.07327063,0.2989563,-2.594534
-0.1622979,-0.02543101,-2.164578,0.08335445,0.4565957,-2.101315,-0.1816326,0.3085962,-2.551582,0.07173072,0.3042994,-2.590374
-0.1622979,-0.02543101,-2.164578,0.08335445,0.4565957,-2.101315,-0.1816326,0.3085962,-2.551582,0.07173072,0.3042994,-2.590374
-0.149863,-0.05232733,-2.144013,0.07587726,0.4755051,-2.074721,-0.1876359,0.3088448,-2.54896,0.06993663,0.307839,-2.588246
-0.149863,-0.05232733,-2.144013,0.07587726,0.4755051,-2.074721,-0.1876359,0.3088448,-2.54896,0.06993663,0.307839,-2.588246
-0.1443117,-0.05557705,-2.143822,0.07469942,0.4844636,-2.056125,-0.1894175,0.3095517,-2.551123,0.07059339,0.3089501,-2.584623
-0.1443117,-0.05557705,-2.143822,0.07469942,0.4844636,-2.056125,-0.1894175,0.3095517,-2.551123,0.07059339,0.3089501,-2.584623
-0.1443117,-0.05557705,-2.143822,0.07469942,0.4844636,-2.056125,-0.1894175,0.3095517,-2.551123,0.07059339,0.3089501,-2.584623
-0.1627502,-0.04025991,-2.158231,0.07231505,0.4892954,-2.04297,-0.1905297,0.308749,-2.555143,0.07135551,0.3076682,-2.581041
-0.1627502,-0.04025991,-2.158231,0.07231505,0.4892954,-2.04297,-0.1905297,0.308749,-2.555143,0.07135551,0.3076682,-2.581041
-0.1627502,-0.04025991,-2.158231,0.07231505,0.4892954,-2.04297,-0.1905297,0.308749,-2.555143,0.07135551,0.3076682,-2.581041
-0.1627502,-0.04025991,-2.158231,0.07231505,0.4892954,-2.04297,-0.1905297,0.308749,-2.555143,0.07135551,0.3076682,-2.581041
-0.1630377,-0.03465879,-2.160021,0.07016379,0.4874307,-2.027924,-0.1933268,0.3075455,-2.558836,0.07056191,0.3064441,-2.578262
-0.1630377,-0.03465879,-2.160021,0.07016379,0.4874307,-2.027924,-0.1933268,0.3075455,-2.558836,0.07056191,0.3064441,-2.578262
-0.1651537,-0.02778204,-2.161775,0.06828422,0.478583,-2.011773,-0.1964201,0.3078651,-2.566885,0.07070867,0.3062815,-2.579118
-0.1651537,-0.02778204,-2.161775,0.06828422,0.478583,-2.011773,-0.1964201,0.3078651,-2.566885,0.07070867,0.3062815,-2.579118
