Hand_L, , ,Hand_R, , 
-0.2345959,-0.379113,-1.411156,-0.0692103,0.2316728,-1.410586
-0.2335668,-0.3612714,-1.401095,-0.06879415,0.3007312,-1.403741
-0.2335668,-0.3612714,-1.401095,-0.06879415,0.3007312,-1.403741
-0.230826,-0.2775823,-1.327956,-0.07109657,0.3269863,-1.394714
-0.230826,-0.2775823,-1.327956,-0.07109657,0.3269863,-1.394714
-0.2308437,-0.2021809,-1.294974,-0.08635902,0.3339345,-1.333736
-0.2308437,-0.2021809,-1.294974,-0.08635902,0.3339345,-1.333736
-0.2308437,-0.2021809,-1.294974,-0.08635902,0.3339345,-1.333736
-0.2308437,-0.2021809,-1.294974,-0.08635902,0.3339345,-1.333736
-0.2434732,-0.1157535,-1.262145,-0.0903529,0.3085498,-1.283933
-0.2434732,-0.1157535,-1.262145,-0.0903529,0.3085498,-1.283933
-0.2786034,0.07699189,-1.209976,-0.0903529,0.3085498,-1.283933
-0.2786034,0.07699189,-1.209976,-0.0903529,0.3085498,-1.283933
-0.2970443,0.1606109,-1.211831,-0.0903529,0.3085498,-1.283933
-0.2970443,0.1606109,-1.211831,-0.0903529,0.3085498,-1.283933
-0.2970443,0.1606109,-1.211831,-0.0903529,0.3085498,-1.283933
-0.2970443,0.1606109,-1.211831,-0.0903529,0.3085498,-1.283933
-0.3063883,0.2312024,-1.238837,-0.09292253,-0.09528583,-1.216447
-0.3063883,0.2312024,-1.238837,-0.09292253,-0.09528583,-1.216447
-0.3089518,0.2931041,-1.279545,-0.1127548,-0.1869992,-1.268559
-0.3089518,0.2931041,-1.279545,-0.1127548,-0.1869992,-1.268559
-0.2929043,0.3584159,-1.35212,-0.1376956,-0.2529784,-1.331815
-0.2929043,0.3584159,-1.35212,-0.1376956,-0.2529784,-1.331815
-0.2900903,0.3685504,-1.367651,-0.1431341,-0.2616301,-1.339677
-0.2900903,0.3685504,-1.367651,-0.1431341,-0.2616301,-1.339677
-0.2900903,0.3685504,-1.367651,-0.1431341,-0.2616301,-1.339677
-0.2900903,0.3685504,-1.367651,-0.1431341,-0.2616301,-1.339677
-0.2886191,0.3734583,-1.373026,-0.1434388,-0.2617478,-1.339782
-0.2886191,0.3734583,-1.373026,-0.1434388,-0.2617478,-1.339782
-0.2867754,0.3682133,-1.363407,-0.1312191,-0.2138401,-1.283492
-0.2867754,0.3682133,-1.363407,-0.1312191,-0.2138401,-1.283492
-0.2869696,0.3435832,-1.324819,-0.1117239,-0.1451172,-1.243086
-0.2869696,0.3435832,-1.324819,-0.1117239,-0.1451172,-1.243086
-0.2869696,0.3435832,-1.324819,-0.1117239,-0.1451172,-1.243086
