Hand_L, , ,Hand_R, , 
-0.3699907,-0.1522151,-1.246067,0.08980823,0.2125804,-1.308521
-0.3699907,-0.1522151,-1.246067,0.08980823,0.2125804,-1.308521
-0.3634334,-0.2163162,-1.267648,0.08967599,0.2808232,-1.318484
-0.3634334,-0.2163162,-1.267648,0.08967599,0.2808232,-1.318484
-0.3453215,-0.3263259,-1.301852,0.05930172,0.3553508,-1.382394
-0.3453215,-0.3263259,-1.301852,0.05930172,0.3553508,-1.382394
-0.331729,-0.3338796,-1.322058,0.04640647,0.374324,-1.401021
-0.331729,-0.3338796,-1.322058,0.04640647,0.374324,-1.401021
-0.331729,-0.3338796,-1.322058,0.04640647,0.374324,-1.401021
-0.331729,-0.3338796,-1.322058,0.04640647,0.374324,-1.401021
-0.3136632,-0.3334808,-1.340455,0.03520639,0.3858798,-1.414344
-0.3136632,-0.3334808,-1.340455,0.03520639,0.3858798,-1.414344
-0.2946032,-0.3287212,-1.348718,0.02978923,0.3869774,-1.415044
-0.2946032,-0.3287212,-1.348718,0.02978923,0.3869774,-1.415044
-0.2779578,-0.3211087,-1.345723,0.02579791,0.3860964,-1.408802
-0.2779578,-0.3211087,-1.345723,0.02579791,0.3860964,-1.408802
-0.2671638,-0.3078701,-1.333241,0.02310715,0.3730739,-1.37929
-0.2671638,-0.3078701,-1.333241,0.02310715,0.3730739,-1.37929
-0.2671638,-0.3078701,-1.333241,0.02310715,0.3730739,-1.37929
-0.2671638,-0.3078701,-1.333241,0.02310715,0.3730739,-1.37929
-0.2644607,-0.2724893,-1.296551,0.02933527,0.3426776,-1.329189
-0.2644607,-0.2724893,-1.296551,0.02933527,0.3426776,-1.329189
-0.2644607,-0.2724893,-1.296551,0.02933527,0.3426776,-1.329189
-0.2644607,-0.2724893,-1.296551,0.02933527,0.3426776,-1.329189
-0.2844161,-0.153541,-1.242068,0.05641531,0.2168203,-1.219884
-0.2844161,-0.153541,-1.242068,0.05641531,0.2168203,-1.219884
-0.3124371,-0.07248998,-1.235598,0.05641531,0.2168203,-1.219884
-0.3124371,-0.07248998,-1.235598,0.05641531,0.2168203,-1.219884
-0.3364785,0.00379718,-1.22699,0.05641531,0.2168203,-1.219884
-0.3364785,0.00379718,-1.22699,0.05641531,0.2168203,-1.219884
-0.3364785,0.00379718,-1.22699,0.05641531,0.2168203,-1.219884
