Hand_L, , ,Hand_R, , 
-0.4727962,0.1879861,-1.250041,0.09959268,0.00319464,-1.370141
-0.4493341,0.01299292,-1.248832,0.1267587,0.1054944,-1.405671
-0.4493341,0.01299292,-1.248832,0.1267587,0.1054944,-1.405671
-0.4285502,-0.07474548,-1.266821,0.1518205,0.178296,-1.407264
-0.4285502,-0.07474548,-1.266821,0.1518205,0.178296,-1.407264
-0.4039006,-0.1416729,-1.281744,0.1578279,0.2450042,-1.425822
-0.4039006,-0.1416729,-1.281744,0.1578279,0.2450042,-1.425822
-0.4039006,-0.1416729,-1.281744,0.1578279,0.2450042,-1.425822
-0.4039006,-0.1416729,-1.281744,0.1578279,0.2450042,-1.425822
-0.3738887,-0.1897402,-1.297075,0.1475893,0.2905258,-1.451386
-0.3738887,-0.1897402,-1.297075,0.1475893,0.2905258,-1.451386
-0.3738887,-0.1897402,-1.297075,0.1475893,0.2905258,-1.451386
-0.3738887,-0.1897402,-1.297075,0.1475893,0.2905258,-1.451386
-0.2807079,-0.3284881,-1.290146,0.1042955,0.3542219,-1.502991
-0.2807079,-0.3284881,-1.290146,0.1042955,0.3542219,-1.502991
-0.258821,-0.3270293,-1.305377,0.08250954,0.3741448,-1.515105
-0.258821,-0.3270293,-1.305377,0.08250954,0.3741448,-1.515105
-0.258821,-0.3270293,-1.305377,0.08250954,0.3741448,-1.515105
-0.258821,-0.3270293,-1.305377,0.08250954,0.3741448,-1.515105
-0.2350325,-0.3208753,-1.31976,0.06885496,0.3874424,-1.521877
-0.2350325,-0.3208753,-1.31976,0.06885496,0.3874424,-1.521877
-0.18971,-0.3094554,-1.330663,0.0463518,0.3885431,-1.521644
-0.18971,-0.3094554,-1.330663,0.0463518,0.3885431,-1.521644
-0.1698217,-0.3050312,-1.331275,0.02887154,0.3961586,-1.50698
-0.1698217,-0.3050312,-1.331275,0.02887154,0.3961586,-1.50698
-0.1625931,-0.3006564,-1.331331,0.01532048,0.3972355,-1.484303
-0.1625931,-0.3006564,-1.331331,0.01532048,0.3972355,-1.484303
-0.1625931,-0.3006564,-1.331331,0.01532048,0.3972355,-1.484303
-0.1625931,-0.3006564,-1.331331,0.01532048,0.3972355,-1.484303
-0.1560159,-0.2951289,-1.329014,0.007610054,0.3900618,-1.450678
-0.1560159,-0.2951289,-1.329014,0.007610054,0.3900618,-1.450678
-0.1558901,-0.2656892,-1.313133,0.01340752,0.3361752,-1.339606
-0.1558901,-0.2656892,-1.313133,0.01340752,0.3361752,-1.339606
-0.1697367,-0.2119175,-1.288085,0.01701147,0.2807189,-1.289734
-0.1697367,-0.2119175,-1.288085,0.01701147,0.2807189,-1.289734
-0.1697367,-0.2119175,-1.288085,0.01701147,0.2807189,-1.289734
-0.1697367,-0.2119175,-1.288085,0.01701147,0.2807189,-1.289734
-0.1975339,-0.1552467,-1.272722,0.01439099,0.1880137,-1.238845
-0.1975339,-0.1552467,-1.272722,0.01439099,0.1880137,-1.238845
-0.2379715,0.0008107727,-1.202644,0.0105719,-0.005185504,-1.236192
-0.2379715,0.0008107727,-1.202644,0.0105719,-0.005185504,-1.236192
-0.2448926,0.07513724,-1.193161,-0.0016076,-0.1035397,-1.240984
-0.2448926,0.07513724,-1.193161,-0.0016076,-0.1035397,-1.240984
-0.2448926,0.07513724,-1.193161,-0.0016076,-0.1035397,-1.240984
-0.2448926,0.07513724,-1.193161,-0.0016076,-0.1035397,-1.240984
-0.257507,0.1610935,-1.203215,-0.01935861,-0.1849311,-1.265725
-0.257507,0.1610935,-1.203215,-0.01935861,-0.1849311,-1.265725
-0.2633723,0.2375642,-1.229202,-0.04204958,-0.2518966,-1.310819
-0.2633723,0.2375642,-1.229202,-0.04204958,-0.2518966,-1.310819
