Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.1290626,0.4961185,-1.80812,0.157793,0.279974,-1.989166,0.01045916,0.2120016,-2.234988,-0.1722771,0.002999937,-2.253614
0.1290626,0.4961185,-1.80812,0.157793,0.279974,-1.989166,0.01045916,0.2120016,-2.234988,-0.1722771,0.002999937,-2.253614
0.1338861,0.479788,-1.803722,0.160812,0.2759072,-1.998825,0.009945067,0.2085463,-2.23315,-0.1724214,-0.0006614939,-2.253179
0.1338861,0.479788,-1.803722,0.160812,0.2759072,-1.998825,0.009945067,0.2085463,-2.23315,-0.1724214,-0.0006614939,-2.253179
0.1370441,0.4952456,-1.807506,0.1624479,0.2800922,-1.988647,0.01014343,0.2093945,-2.234194,-0.1724635,0.0003477147,-2.253752
0.1370441,0.4952456,-1.807506,0.1624479,0.2800922,-1.988647,0.01014343,0.2093945,-2.234194,-0.1724635,0.0003477147,-2.253752
0.1370441,0.4952456,-1.807506,0.1624479,0.2800922,-1.988647,0.01014343,0.2093945,-2.234194,-0.1724635,0.0003477147,-2.253752
0.1429611,0.4847704,-1.802518,0.1645315,0.2769389,-1.993839,0.01052599,0.207619,-2.233756,-0.1722031,-0.001333275,-2.253194
0.1429611,0.4847704,-1.802518,0.1645315,0.2769389,-1.993839,0.01052599,0.207619,-2.233756,-0.1722031,-0.001333275,-2.253194
0.1454953,0.4826301,-1.799938,0.1651677,0.2749621,-1.992328,0.01088582,0.2095459,-2.236317,-0.1724168,0.0009302094,-2.253852
0.1454953,0.4826301,-1.799938,0.1651677,0.2749621,-1.992328,0.01088582,0.2095459,-2.236317,-0.1724168,0.0009302094,-2.253852
0.1454953,0.4826301,-1.799938,0.1651677,0.2749621,-1.992328,0.01088582,0.2095459,-2.236317,-0.1724168,0.0009302094,-2.253852
0.1454953,0.4826301,-1.799938,0.1651677,0.2749621,-1.992328,0.01088582,0.2095459,-2.236317,-0.1724168,0.0009302094,-2.253852
0.1467325,0.4966361,-1.80718,0.171414,0.2805823,-1.987126,0.01188762,0.2130326,-2.239688,-0.1714571,0.004288348,-2.255068
0.1467325,0.4966361,-1.80718,0.171414,0.2805823,-1.987126,0.01188762,0.2130326,-2.239688,-0.1714571,0.004288348,-2.255068
0.1489537,0.4882057,-1.800688,0.1693418,0.2767283,-1.988118,0.01162382,0.2150947,-2.242111,-0.1725798,0.00696971,-2.255392
0.1489537,0.4882057,-1.800688,0.1693418,0.2767283,-1.988118,0.01162382,0.2150947,-2.242111,-0.1725798,0.00696971,-2.255392
0.14887,0.4984183,-1.811637,0.1697612,0.2803403,-1.98451,0.009424838,0.2153707,-2.242162,-0.1750606,0.007488527,-2.255485
0.14887,0.4984183,-1.811637,0.1697612,0.2803403,-1.98451,0.009424838,0.2153707,-2.242162,-0.1750606,0.007488527,-2.255485
0.1454336,0.5012105,-1.812658,0.1720572,0.2794875,-1.98334,0.01102735,0.2126394,-2.238081,-0.1732268,0.004898769,-2.255842
0.1454336,0.5012105,-1.812658,0.1720572,0.2794875,-1.98334,0.01102735,0.2126394,-2.238081,-0.1732268,0.004898769,-2.255842
0.1465383,0.4987018,-1.81063,0.1748942,0.2770048,-1.98162,0.01248576,0.2118993,-2.23549,-0.1715684,0.004185113,-2.255609
0.1465383,0.4987018,-1.81063,0.1748942,0.2770048,-1.98162,0.01248576,0.2118993,-2.23549,-0.1715684,0.004185113,-2.255609
0.1465383,0.4987018,-1.81063,0.1748942,0.2770048,-1.98162,0.01248576,0.2118993,-2.23549,-0.1715684,0.004185113,-2.255609
0.1465383,0.4987018,-1.81063,0.1748942,0.2770048,-1.98162,0.01248576,0.2118993,-2.23549,-0.1715684,0.004185113,-2.255609
0.1451861,0.4932801,-1.809885,0.1693908,0.274815,-1.982555,0.01298952,0.2143516,-2.235943,-0.1718099,0.007192237,-2.254827
0.1451861,0.4932801,-1.809885,0.1693908,0.274815,-1.982555,0.01298952,0.2143516,-2.235943,-0.1718099,0.007192237,-2.254827
