Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
-0.366403,0.05354909,-2.176072,-0.2256711,0.05728284,-2.44065,-0.08322088,0.2881809,-2.548826
-0.366403,0.05354909,-2.176072,-0.2256711,0.05728284,-2.44065,-0.08322088,0.2881809,-2.548826
-0.366403,0.05354909,-2.176072,-0.2256711,0.05728284,-2.44065,-0.08322088,0.2881809,-2.548826
-0.3863083,0.1064353,-2.167173,-0.2437782,0.08005819,-2.428909,-0.08358159,0.2885967,-2.549793
-0.3863083,0.1064353,-2.167173,-0.2437782,0.08005819,-2.428909,-0.08358159,0.2885967,-2.549793
-0.3863083,0.1064353,-2.167173,-0.2437782,0.08005819,-2.428909,-0.08358159,0.2885967,-2.549793
-0.3863083,0.1064353,-2.167173,-0.2437782,0.08005819,-2.428909,-0.08358159,0.2885967,-2.549793
-0.393351,0.1503846,-2.160688,-0.2516163,0.0978911,-2.418004,-0.08374166,0.2887186,-2.550117
-0.393351,0.1503846,-2.160688,-0.2516163,0.0978911,-2.418004,-0.08374166,0.2887186,-2.550117
-0.3964514,0.1972186,-2.149081,-0.2592108,0.1229861,-2.40204,-0.08385643,0.2888608,-2.550403
-0.3964514,0.1972186,-2.149081,-0.2592108,0.1229861,-2.40204,-0.08385643,0.2888608,-2.550403
-0.3964514,0.1972186,-2.149081,-0.2592108,0.1229861,-2.40204,-0.08385643,0.2888608,-2.550403
-0.3964514,0.1972186,-2.149081,-0.2592108,0.1229861,-2.40204,-0.08385643,0.2888608,-2.550403
-0.3841099,0.2817566,-2.136321,-0.2621459,0.1576718,-2.378629,-0.08387662,0.2888624,-2.550439
-0.3841099,0.2817566,-2.136321,-0.2621459,0.1576718,-2.378629,-0.08387662,0.2888624,-2.550439
-0.3699175,0.3211966,-2.129401,-0.2622229,0.1724016,-2.369524,-0.0838934,0.2888978,-2.550483
-0.3699175,0.3211966,-2.129401,-0.2622229,0.1724016,-2.369524,-0.0838934,0.2888978,-2.550483
-0.3699175,0.3211966,-2.129401,-0.2622229,0.1724016,-2.369524,-0.0838934,0.2888978,-2.550483
-0.3699175,0.3211966,-2.129401,-0.2622229,0.1724016,-2.369524,-0.0838934,0.2888978,-2.550483
-0.3500693,0.3580872,-2.12033,-0.2595055,0.191883,-2.357138,-0.08390239,0.288911,-2.55049
-0.3500693,0.3580872,-2.12033,-0.2595055,0.191883,-2.357138,-0.08390239,0.288911,-2.55049
-0.3284054,0.3907557,-2.112813,-0.2533158,0.2114713,-2.342923,-0.08391712,0.2889266,-2.550502
-0.3284054,0.3907557,-2.112813,-0.2533158,0.2114713,-2.342923,-0.08391712,0.2889266,-2.550502
-0.3053489,0.4214947,-2.105665,-0.2469381,0.2259388,-2.331758,-0.08395882,0.2891431,-2.550591
-0.3053489,0.4214947,-2.105665,-0.2469381,0.2259388,-2.331758,-0.08395882,0.2891431,-2.550591
-0.2846722,0.4449191,-2.098713,-0.2385121,0.2417796,-2.318424,-0.08398645,0.2893473,-2.550704
-0.2846722,0.4449191,-2.098713,-0.2385121,0.2417796,-2.318424,-0.08398645,0.2893473,-2.550704
-0.2846722,0.4449191,-2.098713,-0.2385121,0.2417796,-2.318424,-0.08398645,0.2893473,-2.550704
-0.2846722,0.4449191,-2.098713,-0.2385121,0.2417796,-2.318424,-0.08398645,0.2893473,-2.550704
-0.2566868,0.4701607,-2.092185,-0.2261207,0.2583742,-2.302763,-0.08399477,0.2893873,-2.550724
-0.2566868,0.4701607,-2.092185,-0.2261207,0.2583742,-2.302763,-0.08399477,0.2893873,-2.550724
-0.2293471,0.4913725,-2.086448,-0.2148915,0.2711733,-2.28952,-0.08399667,0.2894109,-2.550734
-0.2293471,0.4913725,-2.086448,-0.2148915,0.2711733,-2.28952,-0.08399667,0.2894109,-2.550734
-0.2079306,0.5054308,-2.082802,-0.203897,0.2807606,-2.278682,-0.08400123,0.289442,-2.55075
-0.2079306,0.5054308,-2.082802,-0.203897,0.2807606,-2.278682,-0.08400123,0.289442,-2.55075
-0.2079306,0.5054308,-2.082802,-0.203897,0.2807606,-2.278682,-0.08400123,0.289442,-2.55075
-0.2079306,0.5054308,-2.082802,-0.203897,0.2807606,-2.278682,-0.08400123,0.289442,-2.55075
-0.1836352,0.5156791,-2.078582,-0.1938712,0.2881465,-2.271316,-0.08399746,0.2895204,-2.55079
