Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
0.1692617,0.2910533,-2.118209,-0.03794968,0.1988242,-2.27123,-0.07973845,0.296908,-2.557219
0.1692617,0.2910533,-2.118209,-0.03794968,0.1988242,-2.27123,-0.07973845,0.296908,-2.557219
0.1692617,0.2910533,-2.118209,-0.03794968,0.1988242,-2.27123,-0.07973845,0.296908,-2.557219
0.1692617,0.2910533,-2.118209,-0.03794968,0.1988242,-2.27123,-0.07973845,0.296908,-2.557219
0.1955499,0.2275806,-2.137408,-0.02736368,0.1724748,-2.287136,-0.07979023,0.2969939,-2.557256
0.1955499,0.2275806,-2.137408,-0.02736368,0.1724748,-2.287136,-0.07979023,0.2969939,-2.557256
0.2002114,0.1694565,-2.152776,-0.02317487,0.1485159,-2.305712,-0.07988754,0.2970967,-2.557355
0.2002114,0.1694565,-2.152776,-0.02317487,0.1485159,-2.305712,-0.07988754,0.2970967,-2.557355
0.2002114,0.1694565,-2.152776,-0.02317487,0.1485159,-2.305712,-0.07988754,0.2970967,-2.557355
0.2002114,0.1694565,-2.152776,-0.02317487,0.1485159,-2.305712,-0.07988754,0.2970967,-2.557355
0.2023703,0.1055048,-2.168608,-0.02138563,0.1229851,-2.324732,-0.08004066,0.297318,-2.55753
0.2023703,0.1055048,-2.168608,-0.02138563,0.1229851,-2.324732,-0.08004066,0.297318,-2.55753
0.1970895,0.03635962,-2.193331,-0.02321723,0.1033859,-2.341468,-0.08029208,0.2975138,-2.557744
0.1970895,0.03635962,-2.193331,-0.02321723,0.1033859,-2.341468,-0.08029208,0.2975138,-2.557744
0.1685719,-0.02988125,-2.225512,-0.02841686,0.09058995,-2.359241,-0.0809494,0.2982697,-2.558671
0.1685719,-0.02988125,-2.225512,-0.02841686,0.09058995,-2.359241,-0.0809494,0.2982697,-2.558671
0.1109486,-0.09794039,-2.271192,-0.03850987,0.08213782,-2.383661,-0.08124919,0.298408,-2.559068
0.1109486,-0.09794039,-2.271192,-0.03850987,0.08213782,-2.383661,-0.08124919,0.298408,-2.559068
0.1109486,-0.09794039,-2.271192,-0.03850987,0.08213782,-2.383661,-0.08124919,0.298408,-2.559068
0.1109486,-0.09794039,-2.271192,-0.03850987,0.08213782,-2.383661,-0.08124919,0.298408,-2.559068
0.09109245,-0.1154126,-2.276,-0.04541368,0.07165229,-2.400452,-0.08148867,0.2984756,-2.55939
0.09109245,-0.1154126,-2.276,-0.04541368,0.07165229,-2.400452,-0.08148867,0.2984756,-2.55939
0.02362516,-0.1674835,-2.309172,-0.0556283,0.06276868,-2.41716,-0.08194139,0.2989725,-2.560237
0.02362516,-0.1674835,-2.309172,-0.0556283,0.06276868,-2.41716,-0.08194139,0.2989725,-2.560237
0.002017656,-0.1741576,-2.307465,-0.06832764,0.05440412,-2.433419,-0.0823671,0.2992551,-2.56097
0.002017656,-0.1741576,-2.307465,-0.06832764,0.05440412,-2.433419,-0.0823671,0.2992551,-2.56097
-0.03381743,-0.1863411,-2.300676,-0.0881926,0.04072795,-2.451941,-0.08278792,0.2995214,-2.561682
