Hand_R, , ,Shoulder_R, , 
-0.1076557,0.6163801,-2.320306,0.1345064,0.2990762,-2.571132
-0.1076557,0.6163801,-2.320306,0.1345064,0.2990762,-2.571132
-0.1046733,0.6179156,-2.31126,0.1334548,0.2988622,-2.570957
-0.1046733,0.6179156,-2.31126,0.1334548,0.2988622,-2.570957
-0.1064889,0.6276274,-2.31038,0.1354663,0.300644,-2.572813
-0.1064889,0.6276274,-2.31038,0.1354663,0.300644,-2.572813
-0.1064889,0.6276274,-2.31038,0.1354663,0.300644,-2.572813
-0.1064889,0.6276274,-2.31038,0.1354663,0.300644,-2.572813
-0.1086378,0.6315161,-2.305391,0.1346037,0.2993357,-2.572004
-0.1086378,0.6315161,-2.305391,0.1346037,0.2993357,-2.572004
-0.1057757,0.6227647,-2.298419,0.1336269,0.2958355,-2.570652
-0.1057757,0.6227647,-2.298419,0.1336269,0.2958355,-2.570652
-0.107479,0.6278374,-2.298111,0.1325846,0.2938744,-2.571532
-0.107479,0.6278374,-2.298111,0.1325846,0.2938744,-2.571532
-0.1043088,0.6283141,-2.299528,0.1333623,0.2916119,-2.572693
-0.1043088,0.6283141,-2.299528,0.1333623,0.2916119,-2.572693
