Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.3176513,0.5059729,-2.117315,0.2845663,0.2881036,-2.280018,0.1466133,0.2856021,-2.548761
0.3176513,0.5059729,-2.117315,0.2845663,0.2881036,-2.280018,0.1466133,0.2856021,-2.548761
0.3658412,0.4882377,-2.114793,0.3030341,0.2843774,-2.286977,0.1465927,0.2857437,-2.548787
0.3658412,0.4882377,-2.114793,0.3030341,0.2843774,-2.286977,0.1465927,0.2857437,-2.548787
0.4190457,0.4577286,-2.118627,0.3212982,0.2774534,-2.29664,0.1465702,0.2860022,-2.548796
0.4190457,0.4577286,-2.118627,0.3212982,0.2774534,-2.29664,0.1465702,0.2860022,-2.548796
0.47869,0.4112737,-2.129999,0.3415166,0.266302,-2.312019,0.1465824,0.2863269,-2.54897
0.47869,0.4112737,-2.129999,0.3415166,0.266302,-2.312019,0.1465824,0.2863269,-2.54897
0.47869,0.4112737,-2.129999,0.3415166,0.266302,-2.312019,0.1465824,0.2863269,-2.54897
0.47869,0.4112737,-2.129999,0.3415166,0.266302,-2.312019,0.1465824,0.2863269,-2.54897
0.5144346,0.3758066,-2.136634,0.3572975,0.2556903,-2.325218,0.1465431,0.2869584,-2.549341
0.5144346,0.3758066,-2.136634,0.3572975,0.2556903,-2.325218,0.1465431,0.2869584,-2.549341
0.5544123,0.326986,-2.149614,0.3692613,0.243857,-2.338389,0.1465639,0.287098,-2.549489
0.5544123,0.326986,-2.149614,0.3692613,0.243857,-2.338389,0.1465639,0.287098,-2.549489
0.5793641,0.2786857,-2.159815,0.3796625,0.2284341,-2.352191,0.1465683,0.2875298,-2.549753
0.5793641,0.2786857,-2.159815,0.3796625,0.2284341,-2.352191,0.1465683,0.2875298,-2.549753
0.5793641,0.2786857,-2.159815,0.3796625,0.2284341,-2.352191,0.1465683,0.2875298,-2.549753
0.5793641,0.2786857,-2.159815,0.3796625,0.2284341,-2.352191,0.1465683,0.2875298,-2.549753
0.6022576,0.22761,-2.184626,0.3867492,0.2067367,-2.372188,0.1465522,0.2878293,-2.549893
0.6022576,0.22761,-2.184626,0.3867492,0.2067367,-2.372188,0.1465522,0.2878293,-2.549893
0.6040289,0.1602604,-2.206631,0.3867574,0.1895276,-2.388361,0.1465782,0.2881262,-2.550058
0.6040289,0.1602604,-2.206631,0.3867574,0.1895276,-2.388361,0.1465782,0.2881262,-2.550058
0.6033744,0.08876825,-2.244635,0.3812466,0.1661408,-2.408063,0.1466136,0.2883653,-2.550238
0.6033744,0.08876825,-2.244635,0.3812466,0.1661408,-2.408063,0.1466136,0.2883653,-2.550238
0.6033744,0.08876825,-2.244635,0.3812466,0.1661408,-2.408063,0.1466136,0.2883653,-2.550238
0.6033744,0.08876825,-2.244635,0.3812466,0.1661408,-2.408063,0.1466136,0.2883653,-2.550238
0.5948853,0.02830278,-2.283057,0.3735813,0.1482111,-2.423055,0.1466559,0.2886032,-2.550444
0.5948853,0.02830278,-2.283057,0.3735813,0.1482111,-2.423055,0.1466559,0.2886032,-2.550444
0.5669645,-0.02752163,-2.312235,0.3626731,0.132948,-2.436423,0.1466968,0.2889029,-2.550744
0.5669645,-0.02752163,-2.312235,0.3626731,0.132948,-2.436423,0.1466968,0.2889029,-2.550744
0.5336247,-0.07792082,-2.342158,0.3482169,0.1173714,-2.4484,0.1467212,0.2891809,-2.550929
0.5336247,-0.07792082,-2.342158,0.3482169,0.1173714,-2.4484,0.1467212,0.2891809,-2.550929
0.4906694,-0.1259515,-2.362742,0.3268321,0.09669481,-2.460912,0.1467729,0.2893752,-2.551042
0.4906694,-0.1259515,-2.362742,0.3268321,0.09669481,-2.460912,0.1467729,0.2893752,-2.551042
0.4906694,-0.1259515,-2.362742,0.3268321,0.09669481,-2.460912,0.1467729,0.2893752,-2.551042
0.4906694,-0.1259515,-2.362742,0.3268321,0.09669481,-2.460912,0.1467729,0.2893752,-2.551042
0.4906694,-0.1259515,-2.362742,0.3268321,0.09669481,-2.460912,0.1467729,0.2893752,-2.551042
0.4486348,-0.1636741,-2.362403,0.306719,0.0750142,-2.469759,0.1469855,0.289959,-2.55161
0.4486348,-0.1636741,-2.362403,0.306719,0.0750142,-2.469759,0.1469855,0.289959,-2.55161
0.3988336,-0.1905314,-2.364852,0.2940242,0.06625256,-2.473168,0.1473611,0.2907064,-2.55255
0.3988336,-0.1905314,-2.364852,0.2940242,0.06625256,-2.473168,0.1473611,0.2907064,-2.55255
0.3335051,-0.2163667,-2.355256,0.2797325,0.05545276,-2.474029,0.1478675,0.291282,-2.553559
0.3335051,-0.2163667,-2.355256,0.2797325,0.05545276,-2.474029,0.1478675,0.291282,-2.553559
0.2742983,-0.2271248,-2.335771,0.2609656,0.04344497,-2.474098,0.1484187,0.2919619,-2.554583
0.2742983,-0.2271248,-2.335771,0.2609656,0.04344497,-2.474098,0.1484187,0.2919619,-2.554583
0.2742983,-0.2271248,-2.335771,0.2609656,0.04344497,-2.474098,0.1484187,0.2919619,-2.554583
0.2742983,-0.2271248,-2.335771,0.2609656,0.04344497,-2.474098,0.1484187,0.2919619,-2.554583
0.2010959,-0.2223006,-2.311203,0.244573,0.03568903,-2.472669,0.1490741,0.2927673,-2.555841
0.2010959,-0.2223006,-2.311203,0.244573,0.03568903,-2.472669,0.1490741,0.2927673,-2.555841
0.1442207,-0.2048979,-2.290572,0.2304889,0.03235497,-2.469593,0.1497304,0.2939404,-2.5574
0.1442207,-0.2048979,-2.290572,0.2304889,0.03235497,-2.469593,0.1497304,0.2939404,-2.5574
0.1017375,-0.1742372,-2.293816,0.2243794,0.03484394,-2.469058,0.150274,0.2945272,-2.558327
0.1017375,-0.1742372,-2.293816,0.2243794,0.03484394,-2.469058,0.150274,0.2945272,-2.558327
0.06910988,-0.138683,-2.299605,0.2164823,0.04197675,-2.466617,0.1504722,0.2946087,-2.558492
0.06910988,-0.138683,-2.299605,0.2164823,0.04197675,-2.466617,0.1504722,0.2946087,-2.558492
0.06910988,-0.138683,-2.299605,0.2164823,0.04197675,-2.466617,0.1504722,0.2946087,-2.558492
0.06910988,-0.138683,-2.299605,0.2164823,0.04197675,-2.466617,0.1504722,0.2946087,-2.558492
0.02877058,-0.09607306,-2.292572,0.2058067,0.05060475,-2.458745,0.1506729,0.2948747,-2.558663
0.02877058,-0.09607306,-2.292572,0.2058067,0.05060475,-2.458745,0.1506729,0.2948747,-2.558663
-0.02745006,-0.02663594,-2.266262,0.1880445,0.06301695,-2.441576,0.1507773,0.2949796,-2.55871
-0.02745006,-0.02663594,-2.266262,0.1880445,0.06301695,-2.441576,0.1507773,0.2949796,-2.55871
-0.05705807,0.02883349,-2.241463,0.1732585,0.07100589,-2.423731,0.1508312,0.295036,-2.55871
-0.05705807,0.02883349,-2.241463,0.1732585,0.07100589,-2.423731,0.1508312,0.295036,-2.55871
-0.05705807,0.02883349,-2.241463,0.1732585,0.07100589,-2.423731,0.1508312,0.295036,-2.55871
-0.05705807,0.02883349,-2.241463,0.1732585,0.07100589,-2.423731,0.1508312,0.295036,-2.55871
-0.08788769,0.1063437,-2.209394,0.1504475,0.0846867,-2.395952,0.1508576,0.2950554,-2.558676
-0.08788769,0.1063437,-2.209394,0.1504475,0.0846867,-2.395952,0.1508576,0.2950554,-2.558676
-0.1050995,0.1957949,-2.184492,0.1289628,0.1138694,-2.358924,0.1508667,0.2950505,-2.558627
-0.1050995,0.1957949,-2.184492,0.1289628,0.1138694,-2.358924,0.1508667,0.2950505,-2.558627
-0.1050995,0.1957949,-2.184492,0.1289628,0.1138694,-2.358924,0.1508667,0.2950505,-2.558627
-0.1073638,0.2646137,-2.172314,0.1157547,0.139651,-2.330793,0.1508363,0.2951,-2.558557
-0.1073638,0.2646137,-2.172314,0.1157547,0.139651,-2.330793,0.1508363,0.2951,-2.558557
-0.1073638,0.2646137,-2.172314,0.1157547,0.139651,-2.330793,0.1508363,0.2951,-2.558557
-0.1073638,0.2646137,-2.172314,0.1157547,0.139651,-2.330793,0.1508363,0.2951,-2.558557
