Hand_L, , ,Elbow_L, , ,Shoulder_L, , 
-0.2548958,0.4931151,-2.0709,-0.2329998,0.2731262,-2.276744,-0.09552034,0.2816728,-2.554796
-0.2548958,0.4931151,-2.0709,-0.2329998,0.2731262,-2.276744,-0.09552034,0.2816728,-2.554796
-0.2238644,0.520075,-2.072778,-0.2149457,0.2914983,-2.265152,-0.09556678,0.2817998,-2.55476
-0.2238644,0.520075,-2.072778,-0.2149457,0.2914983,-2.265152,-0.09556678,0.2817998,-2.55476
-0.2002397,0.5366536,-2.075567,-0.205516,0.3014306,-2.259042,-0.0955983,0.2818467,-2.554746
-0.2002397,0.5366536,-2.075567,-0.205516,0.3014306,-2.259042,-0.0955983,0.2818467,-2.554746
-0.1707021,0.5498968,-2.077865,-0.1955976,0.3093816,-2.253471,-0.09557235,0.2826484,-2.554815
-0.1707021,0.5498968,-2.077865,-0.1955976,0.3093816,-2.253471,-0.09557235,0.2826484,-2.554815
-0.1361578,0.5595022,-2.082438,-0.1873737,0.3153004,-2.249912,-0.09565819,0.2833518,-2.554955
-0.1361578,0.5595022,-2.082438,-0.1873737,0.3153004,-2.249912,-0.09565819,0.2833518,-2.554955
-0.1039708,0.56366,-2.088038,-0.1782883,0.3191658,-2.247697,-0.09568496,0.2834051,-2.554945
-0.1039708,0.56366,-2.088038,-0.1782883,0.3191658,-2.247697,-0.09568496,0.2834051,-2.554945
-0.1039708,0.56366,-2.088038,-0.1782883,0.3191658,-2.247697,-0.09568496,0.2834051,-2.554945
-0.1039708,0.56366,-2.088038,-0.1782883,0.3191658,-2.247697,-0.09568496,0.2834051,-2.554945
-0.07568738,0.5663624,-2.093288,-0.1679202,0.3228682,-2.244808,-0.09574566,0.2835291,-2.554941
-0.07568738,0.5663624,-2.093288,-0.1679202,0.3228682,-2.244808,-0.09574566,0.2835291,-2.554941
-0.05231405,0.5674384,-2.098848,-0.1551358,0.3246672,-2.240805,-0.09582128,0.2835839,-2.554885
-0.05231405,0.5674384,-2.098848,-0.1551358,0.3246672,-2.240805,-0.09582128,0.2835839,-2.554885
-0.03683387,0.5647562,-2.102335,-0.1477879,0.3248067,-2.239997,-0.09582931,0.2830038,-2.554631
-0.03683387,0.5647562,-2.102335,-0.1477879,0.3248067,-2.239997,-0.09582931,0.2830038,-2.554631
-0.02569201,0.5616866,-2.104129,-0.1402906,0.3239674,-2.239053,-0.09574428,0.282114,-2.55438
-0.02569201,0.5616866,-2.104129,-0.1402906,0.3239674,-2.239053,-0.09574428,0.282114,-2.55438
-0.01659573,0.5583492,-2.105495,-0.1355234,0.3229712,-2.238514,-0.09559436,0.2813765,-2.554216
-0.01659573,0.5583492,-2.105495,-0.1355234,0.3229712,-2.238514,-0.09559436,0.2813765,-2.554216
