Hand_L, , ,Hand_R, , 
-0.5976897,0.1656369,-1.683976,-0.1182595,-0.4232475,-1.669981
-0.5976897,0.1656369,-1.683976,-0.1182595,-0.4232475,-1.669981
-0.5753456,0.1968911,-1.688517,-0.1125539,-0.4219753,-1.670819
-0.5753456,0.1968911,-1.688517,-0.1125539,-0.4219753,-1.670819
-0.5454063,0.2288683,-1.689189,-0.1055021,-0.4210042,-1.671734
-0.5454063,0.2288683,-1.689189,-0.1055021,-0.4210042,-1.671734
-0.5233797,0.2566164,-1.684685,-0.1002191,-0.4213194,-1.671058
-0.5233797,0.2566164,-1.684685,-0.1002191,-0.4213194,-1.671058
-0.4918352,0.2867806,-1.689389,-0.09185315,-0.4198024,-1.669809
-0.4918352,0.2867806,-1.689389,-0.09185315,-0.4198024,-1.669809
-0.4724417,0.2988531,-1.691118,-0.08926132,-0.4186712,-1.667147
-0.4724417,0.2988531,-1.691118,-0.08926132,-0.4186712,-1.667147
-0.4437648,0.3157764,-1.69279,-0.08349522,-0.4183989,-1.663226
-0.4437648,0.3157764,-1.69279,-0.08349522,-0.4183989,-1.663226
-0.4150766,0.3288542,-1.690695,-0.07418665,-0.4169117,-1.658303
-0.4150766,0.3288542,-1.690695,-0.07418665,-0.4169117,-1.658303
-0.3943915,0.3378924,-1.685931,-0.07358979,-0.4172651,-1.662044
-0.3943915,0.3378924,-1.685931,-0.07358979,-0.4172651,-1.662044
-0.3662239,0.345782,-1.677946,-0.07226009,-0.4184334,-1.662809
-0.3662239,0.345782,-1.677946,-0.07226009,-0.4184334,-1.662809
-0.3445007,0.3507124,-1.668585,-0.06628352,-0.4212185,-1.664613
-0.3445007,0.3507124,-1.668585,-0.06628352,-0.4212185,-1.664613
-0.3204369,0.3549463,-1.655648,-0.06355332,-0.4222475,-1.668203
-0.3204369,0.3549463,-1.655648,-0.06355332,-0.4222475,-1.668203
-0.3204369,0.3549463,-1.655648,-0.06355332,-0.4222475,-1.668203
-0.3204369,0.3549463,-1.655648,-0.06355332,-0.4222475,-1.668203
-0.2958543,0.3529482,-1.645416,-0.06273381,-0.422561,-1.669744
-0.2958543,0.3529482,-1.645416,-0.06273381,-0.422561,-1.669744
