Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.2056952,0.4292193,-2.065225,-0.3060719,0.2125374,-2.204096,-0.2262322,0.2159516,-2.486465,-0.0499814,0.004143704,-2.521019
-0.2078838,0.4276905,-2.06826,-0.3081524,0.211437,-2.209793,-0.2303234,0.2148061,-2.490101,-0.05486121,0.002422304,-2.525202
-0.2078838,0.4276905,-2.06826,-0.3081524,0.211437,-2.209793,-0.2303234,0.2148061,-2.490101,-0.05486121,0.002422304,-2.525202
-0.2078838,0.4276905,-2.06826,-0.3081524,0.211437,-2.209793,-0.2303234,0.2148061,-2.490101,-0.05389119,-0.003175468,-2.522374
-0.2078838,0.4276905,-2.06826,-0.3081524,0.211437,-2.209793,-0.2303234,0.2148061,-2.490101,-0.05389119,-0.003175468,-2.522374
-0.2069776,0.4364376,-2.068006,-0.304548,0.2160219,-2.207974,-0.2301724,0.2094861,-2.494233,-0.05389119,-0.003175468,-2.522374
-0.2069776,0.4364376,-2.068006,-0.304548,0.2160219,-2.207974,-0.2301724,0.2094861,-2.494233,-0.05389119,-0.003175468,-2.522374
-0.2091824,0.4338531,-2.075344,-0.305454,0.2132802,-2.212876,-0.2284382,0.201549,-2.493268,-0.05146209,-0.01002238,-2.525048
-0.2091824,0.4338531,-2.075344,-0.305454,0.2132802,-2.212876,-0.2284382,0.201549,-2.493268,-0.05146209,-0.01002238,-2.525048
-0.2082071,0.4438542,-2.076697,-0.3016384,0.2186504,-2.210294,-0.2269157,0.1967175,-2.495886,-0.04850648,-0.0140758,-2.525039
-0.2082071,0.4438542,-2.076697,-0.3016384,0.2186504,-2.210294,-0.2269157,0.1967175,-2.495886,-0.04850648,-0.0140758,-2.525039
-0.2044189,0.4520579,-2.074525,-0.2968425,0.2268033,-2.20577,-0.2235006,0.203116,-2.495352,-0.0454921,-0.007991591,-2.524858
-0.2044189,0.4520579,-2.074525,-0.2968425,0.2268033,-2.20577,-0.2235006,0.203116,-2.495352,-0.0454921,-0.007991591,-2.524858
-0.2044189,0.4520579,-2.074525,-0.2968425,0.2268033,-2.20577,-0.2235006,0.203116,-2.495352,-0.0454921,-0.007991591,-2.524858
-0.2044189,0.4520579,-2.074525,-0.2968425,0.2268033,-2.20577,-0.2235006,0.203116,-2.495352,-0.0454921,-0.007991591,-2.524858
-0.2007873,0.4532953,-2.079362,-0.2960822,0.2271974,-2.202375,-0.2218427,0.2089012,-2.496976,-0.04458371,-0.00302306,-2.525153
-0.2007873,0.4532953,-2.079362,-0.2960822,0.2271974,-2.202375,-0.2218427,0.2089012,-2.496976,-0.04458371,-0.00302306,-2.525153
