Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.06415328,0.4698174,-2.147034,-0.2372408,0.2667652,-2.23224,-0.192445,0.206821,-2.520605,-0.01570354,-0.006113163,-2.54364
-0.06415328,0.4698174,-2.147034,-0.2372408,0.2667652,-2.23224,-0.192445,0.206821,-2.520605,-0.01570354,-0.006113163,-2.54364
-0.03876189,0.4509669,-2.158751,-0.2268933,0.2576249,-2.227678,-0.1936932,0.20458,-2.51904,-0.02002206,-0.01093623,-2.541251
-0.03876189,0.4509669,-2.158751,-0.2268933,0.2576249,-2.227678,-0.1936932,0.20458,-2.51904,-0.02002206,-0.01093623,-2.541251
-0.03876189,0.4509669,-2.158751,-0.2268933,0.2576249,-2.227678,-0.1936932,0.20458,-2.51904,-0.02002206,-0.01093623,-2.541251
-0.01431263,0.4291655,-2.166716,-0.210497,0.24352,-2.229202,-0.1914129,0.200012,-2.518651,-0.01590007,-0.01402792,-2.540975
-0.01431263,0.4291655,-2.166716,-0.210497,0.24352,-2.229202,-0.1914129,0.200012,-2.518651,-0.01590007,-0.01402792,-2.540975
0.02545276,0.3897623,-2.182916,-0.1949585,0.2258255,-2.227787,-0.1949543,0.1963924,-2.520925,-0.0181541,-0.01680031,-2.541273
0.02545276,0.3897623,-2.182916,-0.1949585,0.2258255,-2.227787,-0.1949543,0.1963924,-2.520925,-0.0181541,-0.01680031,-2.541273
0.02545276,0.3897623,-2.182916,-0.1949585,0.2258255,-2.227787,-0.1949543,0.1963924,-2.520925,-0.0181541,-0.01680031,-2.541273
0.02545276,0.3897623,-2.182916,-0.1949585,0.2258255,-2.227787,-0.1949543,0.1963924,-2.520925,-0.0181541,-0.01680031,-2.541273
0.05788623,0.3269898,-2.204176,-0.1854159,0.1958472,-2.237072,-0.1924729,0.2023578,-2.522729,-0.0135354,-0.009154497,-2.54177
0.05788623,0.3269898,-2.204176,-0.1854159,0.1958472,-2.237072,-0.1924729,0.2023578,-2.522729,-0.0135354,-0.009154497,-2.54177
0.06734987,0.2589707,-2.199878,-0.1792743,0.1422292,-2.25984,-0.1889996,0.2043493,-2.520591,-0.007931096,-0.005365755,-2.539464
0.06734987,0.2589707,-2.199878,-0.1792743,0.1422292,-2.25984,-0.1889996,0.2043493,-2.520591,-0.007931096,-0.005365755,-2.539464
-0.01128532,0.1320341,-2.211898,-0.2247878,0.09199552,-2.31061,-0.1905622,0.1990692,-2.517195,-0.007642503,-0.008614641,-2.540043
-0.01128532,0.1320341,-2.211898,-0.2247878,0.09199552,-2.31061,-0.1905622,0.1990692,-2.517195,-0.007642503,-0.008614641,-2.540043
-0.02706888,0.03898435,-2.234333,-0.2295795,0.06464045,-2.355152,-0.1900121,0.1972565,-2.515932,-0.008237754,-0.01113072,-2.54152
-0.02706888,0.03898435,-2.234333,-0.2295795,0.06464045,-2.355152,-0.1900121,0.1972565,-2.515932,-0.008237754,-0.01113072,-2.54152
-0.02952195,-0.049659,-2.275156,-0.2236535,0.04444881,-2.385848,-0.1912513,0.1996215,-2.522273,-0.01068079,-0.01057639,-2.540045
-0.02952195,-0.049659,-2.275156,-0.2236535,0.04444881,-2.385848,-0.1912513,0.1996215,-2.522273,-0.01068079,-0.01057639,-2.540045
0.002205425,-0.1647516,-2.289981,-0.1982949,-0.01325746,-2.38729,-0.1942464,0.2022031,-2.529269,-0.01481845,-0.0094622,-2.539689
0.002205425,-0.1647516,-2.289981,-0.1982949,-0.01325746,-2.38729,-0.1942464,0.2022031,-2.529269,-0.01481845,-0.0094622,-2.539689
-0.03402507,-0.2391699,-2.315299,-0.1969382,-0.0358209,-2.408644,-0.1932357,0.2088319,-2.53767,-0.01484672,-0.003936826,-2.538371
-0.03402507,-0.2391699,-2.315299,-0.1969382,-0.0358209,-2.408644,-0.1932357,0.2088319,-2.53767,-0.01484672,-0.003936826,-2.538371
-0.1089047,-0.2864743,-2.346782,-0.2038594,-0.04058357,-2.431718,-0.1891045,0.2287624,-2.54087,-0.01519775,0.01234012,-2.544429
-0.1089047,-0.2864743,-2.346782,-0.2038594,-0.04058357,-2.431718,-0.1891045,0.2287624,-2.54087,-0.01519775,0.01234012,-2.544429
-0.1818955,-0.2909181,-2.375348,-0.2256944,-0.02662282,-2.454962,-0.212762,0.1859365,-2.537119,-0.0337668,-0.02631589,-2.537981
-0.1818955,-0.2909181,-2.375348,-0.2256944,-0.02662282,-2.454962,-0.212762,0.1859365,-2.537119,-0.0337668,-0.02631589,-2.537981
-0.2427704,-0.3211017,-2.382186,-0.2476438,-0.05758629,-2.459779,-0.2163784,0.1429439,-2.524143,-0.02637684,-0.05914132,-2.532461
-0.2427704,-0.3211017,-2.382186,-0.2476438,-0.05758629,-2.459779,-0.2163784,0.1429439,-2.524143,-0.02637684,-0.05914132,-2.532461
-0.3348613,-0.3514971,-2.377676,-0.2795058,-0.1016982,-2.469248,-0.204904,0.1823021,-2.53503,-0.02333526,-0.02756741,-2.536453
-0.3348613,-0.3514971,-2.377676,-0.2795058,-0.1016982,-2.469248,-0.204904,0.1823021,-2.53503,-0.02333526,-0.02756741,-2.536453
-0.3348613,-0.3514971,-2.377676,-0.2795058,-0.1016982,-2.469248,-0.204904,0.1823021,-2.53503,-0.02333526,-0.02756741,-2.536453
-0.4211212,-0.3392361,-2.372686,-0.3208925,-0.1023253,-2.480632,-0.2006903,0.2065236,-2.548936,-0.02226102,-0.00603007,-2.541388
-0.4211212,-0.3392361,-2.372686,-0.3208925,-0.1023253,-2.480632,-0.2006903,0.2065236,-2.548936,-0.02226102,-0.00603007,-2.541388
-0.4211212,-0.3392361,-2.372686,-0.3208925,-0.1023253,-2.480632,-0.2006903,0.2065236,-2.548936,-0.02226102,-0.00603007,-2.541388
-0.4211212,-0.3392361,-2.372686,-0.3208925,-0.1023253,-2.480632,-0.2006903,0.2065236,-2.548936,-0.02226102,-0.00603007,-2.541388
-0.4866211,-0.2784538,-2.365134,-0.3509506,-0.0654071,-2.485387,-0.1943661,0.2067264,-2.5445,-0.01886703,-0.008435662,-2.541826
