Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
-0.06725294,0.4798515,-2.168149,-0.2154071,0.2520373,-2.231346,-0.1759452,0.2365151,-2.543673,-0.01253616,0.01248444,-2.554433
-0.05304591,0.4659324,-2.177248,-0.2106166,0.2435404,-2.238863,-0.1743628,0.2409628,-2.549376,-0.009883971,0.01732915,-2.552747
-0.05304591,0.4659324,-2.177248,-0.2106166,0.2435404,-2.238863,-0.1743628,0.2409628,-2.549376,-0.009883971,0.01732915,-2.552747
-0.02927016,0.4561238,-2.181205,-0.1924289,0.2379953,-2.239882,-0.1754611,0.2326988,-2.553438,-0.005767839,0.01308443,-2.547117
-0.02927016,0.4561238,-2.181205,-0.1924289,0.2379953,-2.239882,-0.1754611,0.2326988,-2.553438,-0.005767839,0.01308443,-2.547117
-0.02927016,0.4561238,-2.181205,-0.1924289,0.2379953,-2.239882,-0.1754611,0.2326988,-2.553438,-0.005767839,0.01308443,-2.547117
-0.02927016,0.4561238,-2.181205,-0.1924289,0.2379953,-2.239882,-0.1754611,0.2326988,-2.553438,-0.005767839,0.01308443,-2.547117
0.02539345,0.4232081,-2.20811,-0.1676793,0.2251475,-2.248453,-0.1867301,0.2151288,-2.555604,-0.01113274,0.0004256902,-2.543354
0.02539345,0.4232081,-2.20811,-0.1676793,0.2251475,-2.248453,-0.1867301,0.2151288,-2.555604,-0.01113274,0.0004256902,-2.543354
0.06487282,0.384793,-2.214684,-0.1397599,0.1972033,-2.251848,-0.1882859,0.201223,-2.535315,-0.009898786,-0.01083919,-2.545624
0.06487282,0.384793,-2.214684,-0.1397599,0.1972033,-2.251848,-0.1882859,0.201223,-2.535315,-0.009898786,-0.01083919,-2.545624
0.1003582,0.320061,-2.243171,-0.126543,0.1631518,-2.261915,-0.1864179,0.1974539,-2.529635,-0.005496577,-0.01259483,-2.544166
0.1003582,0.320061,-2.243171,-0.126543,0.1631518,-2.261915,-0.1864179,0.1974539,-2.529635,-0.005496577,-0.01259483,-2.544166
0.09702757,0.222728,-2.258648,-0.1512353,0.1106482,-2.294671,-0.188258,0.1975559,-2.525479,-0.005932543,-0.0112168,-2.542285
0.09702757,0.222728,-2.258648,-0.1512353,0.1106482,-2.294671,-0.188258,0.1975559,-2.525479,-0.005932543,-0.0112168,-2.542285
0.09702757,0.222728,-2.258648,-0.1512353,0.1106482,-2.294671,-0.188258,0.1975559,-2.525479,-0.005932543,-0.0112168,-2.542285
0.09702757,0.222728,-2.258648,-0.1512353,0.1106482,-2.294671,-0.188258,0.1975559,-2.525479,-0.005932543,-0.0112168,-2.542285
0.09223469,0.1180881,-2.246126,-0.1651039,0.07497419,-2.319012,-0.1891847,0.1944,-2.5218,-0.006715451,-0.0141059,-2.54056
0.09223469,0.1180881,-2.246126,-0.1651039,0.07497419,-2.319012,-0.1891847,0.1944,-2.5218,-0.006715451,-0.0141059,-2.54056
0.1336598,0.04196445,-2.246363,-0.1322051,0.02682276,-2.325332,-0.1911668,0.1965995,-2.52317,-0.009194171,-0.01248081,-2.540402
0.1336598,0.04196445,-2.246363,-0.1322051,0.02682276,-2.325332,-0.1911668,0.1965995,-2.52317,-0.009194171,-0.01248081,-2.540402
0.08859157,-0.0781509,-2.265322,-0.1574935,0.001862696,-2.356713,-0.1923813,0.1951516,-2.523937,-0.01098088,-0.01448784,-2.540245
0.08859157,-0.0781509,-2.265322,-0.1574935,0.001862696,-2.356713,-0.1923813,0.1951516,-2.523937,-0.01098088,-0.01448784,-2.540245
0.04172726,-0.1766842,-2.29574,-0.1676818,-0.01960146,-2.383324,-0.1947553,0.1943593,-2.527358,-0.01314308,-0.01529516,-2.540875
0.04172726,-0.1766842,-2.29574,-0.1676818,-0.01960146,-2.383324,-0.1947553,0.1943593,-2.527358,-0.01314308,-0.01529516,-2.540875
0.00711114,-0.2430663,-2.328894,-0.1755892,-0.0446789,-2.402471,-0.1938504,0.1905531,-2.5332,-0.01228059,-0.01940059,-2.541159
0.00711114,-0.2430663,-2.328894,-0.1755892,-0.0446789,-2.402471,-0.1938504,0.1905531,-2.5332,-0.01228059,-0.01940059,-2.541159
-0.03779881,-0.2841723,-2.361091,-0.1908974,-0.05821261,-2.427174,-0.2087885,0.1950895,-2.550264,-0.01758887,-0.00574616,-2.541525
-0.03779881,-0.2841723,-2.361091,-0.1908974,-0.05821261,-2.427174,-0.2087885,0.1950895,-2.550264,-0.01758887,-0.00574616,-2.541525
-0.03779881,-0.2841723,-2.361091,-0.1908974,-0.05821261,-2.427174,-0.2087885,0.1950895,-2.550264,-0.01758887,-0.00574616,-2.541525
-0.03779881,-0.2841723,-2.361091,-0.1908974,-0.05821261,-2.427174,-0.2087885,0.1950895,-2.550264,-0.01758887,-0.00574616,-2.541525
-0.132059,-0.3105285,-2.374469,-0.2122377,-0.05598847,-2.451643,-0.2168835,0.2056397,-2.559791,-0.02044428,0.01053131,-2.540326
-0.132059,-0.3105285,-2.374469,-0.2122377,-0.05598847,-2.451643,-0.2168835,0.2056397,-2.559791,-0.02044428,0.01053131,-2.540326
-0.2799358,-0.3294218,-2.374985,-0.2529017,-0.07354204,-2.479314,-0.2211123,0.1550043,-2.536961,-0.01850782,-0.03445392,-2.53743
-0.2799358,-0.3294218,-2.374985,-0.2529017,-0.07354204,-2.479314,-0.2211123,0.1550043,-2.536961,-0.01850782,-0.03445392,-2.53743
-0.386202,-0.3172372,-2.368475,-0.30481,-0.08491587,-2.495468,-0.1945538,0.1958092,-2.5432,-0.01400015,-0.01412906,-2.54195
-0.386202,-0.3172372,-2.368475,-0.30481,-0.08491587,-2.495468,-0.1945538,0.1958092,-2.5432,-0.01400015,-0.01412906,-2.54195
-0.4737254,-0.2682044,-2.341064,-0.3457671,-0.07325309,-2.500455,-0.1851064,0.2067562,-2.542732,-0.01035523,-0.008770442,-2.545329
-0.4737254,-0.2682044,-2.341064,-0.3457671,-0.07325309,-2.500455,-0.1851064,0.2067562,-2.542732,-0.01035523,-0.008770442,-2.545329
-0.4737254,-0.2682044,-2.341064,-0.3457671,-0.07325309,-2.500455,-0.1851064,0.2067562,-2.542732,-0.01035523,-0.008770442,-2.545329
-0.4737254,-0.2682044,-2.341064,-0.3457671,-0.07325309,-2.500455,-0.1851064,0.2067562,-2.542732,-0.01035523,-0.008770442,-2.545329
-0.5385447,-0.2085105,-2.34541,-0.3758988,-0.03116384,-2.497454,-0.1801229,0.2093543,-2.542913,-0.003826052,-0.005120885,-2.54535
-0.5385447,-0.2085105,-2.34541,-0.3758988,-0.03116384,-2.497454,-0.1801229,0.2093543,-2.542913,-0.003826052,-0.005120885,-2.54535
