Hand_L, , ,Elbow_L, , ,Shoulder_L, , ,Body, , 
0.03564338,0.1634913,-2.203893,-0.2017359,0.07706997,-2.306758,-0.191956,0.1951432,-2.531265,-0.01288301,-0.01681689,-2.542348
-0.04159619,0.04676728,-2.263675,-0.2223951,0.04646119,-2.386932,-0.1904002,0.2015804,-2.536481,-0.01221953,-0.01130021,-2.543922
-0.04159619,0.04676728,-2.263675,-0.2223951,0.04646119,-2.386932,-0.1904002,0.2015804,-2.536481,-0.01221953,-0.01130021,-2.543922
-0.06586627,-0.03618436,-2.296487,-0.236774,0.04746041,-2.42505,-0.1926838,0.2024197,-2.543142,-0.01260312,-0.008964525,-2.544842
-0.06586627,-0.03618436,-2.296487,-0.236774,0.04746041,-2.42505,-0.1926838,0.2024197,-2.543142,-0.01260312,-0.008964525,-2.544842
-0.06586627,-0.03618436,-2.296487,-0.236774,0.04746041,-2.42505,-0.1926838,0.2024197,-2.543142,-0.01260312,-0.008964525,-2.544842
-0.06586627,-0.03618436,-2.296487,-0.236774,0.04746041,-2.42505,-0.1926838,0.2024197,-2.543142,-0.01260312,-0.008964525,-2.544842
-0.06136545,-0.1857502,-2.334828,-0.225982,-0.005966204,-2.429301,-0.1787045,0.2385948,-2.553548,-0.01258754,0.01659927,-2.546317
-0.06136545,-0.1857502,-2.334828,-0.225982,-0.005966204,-2.429301,-0.1787045,0.2385948,-2.553548,-0.01258754,0.01659927,-2.546317
-0.06136545,-0.1857502,-2.334828,-0.225982,-0.005966204,-2.429301,-0.1787045,0.2385948,-2.553548,-0.01258754,0.01659927,-2.546317
-0.09708276,-0.236419,-2.38718,-0.2198252,-0.001696899,-2.45911,-0.1766542,0.2525579,-2.558402,-0.01224493,0.02904584,-2.54934
-0.09708276,-0.236419,-2.38718,-0.2198252,-0.001696899,-2.45911,-0.1766542,0.2525579,-2.558402,-0.01224493,0.02904584,-2.54934
-0.1555461,-0.261751,-2.418004,-0.2264377,-0.0004816576,-2.483906,-0.1805887,0.2484316,-2.558529,-0.01311629,0.02707332,-2.5518
