Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.3162515,0.4438637,-1.849588,0.2443285,0.2358783,-2.016875,0.007733749,0.2067518,-2.229332,-0.1794647,0.001749936,-2.253477
0.3162515,0.4438637,-1.849588,0.2443285,0.2358783,-2.016875,0.007733749,0.2067518,-2.229332,-0.1794647,0.001749936,-2.253477
0.3162515,0.4438637,-1.849588,0.2443285,0.2358783,-2.016875,0.007733749,0.2067518,-2.229332,-0.1794647,0.001749936,-2.253477
0.3415353,0.4243957,-1.859402,0.2498998,0.2201423,-2.028329,0.009702069,0.2036961,-2.229706,-0.1776989,-0.001033057,-2.254505
0.3415353,0.4243957,-1.859402,0.2498998,0.2201423,-2.028329,0.009702069,0.2036961,-2.229706,-0.1776989,-0.001033057,-2.254505
0.3415353,0.4243957,-1.859402,0.2498998,0.2201423,-2.028329,0.009702069,0.2036961,-2.229706,-0.1776989,-0.001033057,-2.254505
0.3655043,0.3928473,-1.860699,0.2564628,0.2027045,-2.035448,0.00957041,0.2022144,-2.231266,-0.1775746,-0.00293887,-2.254864
0.3655043,0.3928473,-1.860699,0.2564628,0.2027045,-2.035448,0.00957041,0.2022144,-2.231266,-0.1775746,-0.00293887,-2.254864
0.3920069,0.3518218,-1.863934,0.2626543,0.179887,-2.039547,0.01217589,0.2016798,-2.234563,-0.1761274,-0.002751228,-2.255073
0.3920069,0.3518218,-1.863934,0.2626543,0.179887,-2.039547,0.01217589,0.2016798,-2.234563,-0.1761274,-0.002751228,-2.255073
0.3920069,0.3518218,-1.863934,0.2626543,0.179887,-2.039547,0.01217589,0.2016798,-2.234563,-0.1761274,-0.002751228,-2.255073
0.3920069,0.3518218,-1.863934,0.2626543,0.179887,-2.039547,0.01217589,0.2016798,-2.234563,-0.1761274,-0.002751228,-2.255073
0.4081621,0.3152201,-1.874218,0.2595277,0.1617421,-2.056906,0.01367946,0.2062906,-2.238858,-0.174965,0.001765335,-2.254677
0.4081621,0.3152201,-1.874218,0.2595277,0.1617421,-2.056906,0.01367946,0.2062906,-2.238858,-0.174965,0.001765335,-2.254677
0.4281055,0.2830962,-1.875926,0.266838,0.1445248,-2.063064,0.01220168,0.2052207,-2.240659,-0.1769334,0.0009659269,-2.254149
0.4281055,0.2830962,-1.875926,0.266838,0.1445248,-2.063064,0.01220168,0.2052207,-2.240659,-0.1769334,0.0009659269,-2.254149
0.4390782,0.2415554,-1.877176,0.2678495,0.1246587,-2.06671,0.0106329,0.201645,-2.240775,-0.1790445,-0.002173682,-2.253314
0.4390782,0.2415554,-1.877176,0.2678495,0.1246587,-2.06671,0.0106329,0.201645,-2.240775,-0.1790445,-0.002173682,-2.253314
0.4390782,0.2415554,-1.877176,0.2678495,0.1246587,-2.06671,0.0106329,0.201645,-2.240775,-0.1790445,-0.002173682,-2.253314
0.4390782,0.2415554,-1.877176,0.2678495,0.1246587,-2.06671,0.0106329,0.201645,-2.240775,-0.1790445,-0.002173682,-2.253314
0.4467322,0.1668089,-1.880134,0.2665707,0.09052157,-2.079004,0.0135771,0.1996371,-2.244152,-0.1770793,-0.003389964,-2.254412
0.4467322,0.1668089,-1.880134,0.2665707,0.09052157,-2.079004,0.0135771,0.1996371,-2.244152,-0.1770793,-0.003389964,-2.254412
0.4467588,0.1074586,-1.883623,0.2633127,0.06035018,-2.091314,0.01260396,0.1985983,-2.245126,-0.1781585,-0.004393084,-2.25413
0.4467588,0.1074586,-1.883623,0.2633127,0.06035018,-2.091314,0.01260396,0.1985983,-2.245126,-0.1781585,-0.004393084,-2.25413
0.4332865,0.05529224,-1.886926,0.2545419,0.04239544,-2.104106,0.01219589,0.2005893,-2.245992,-0.1786723,-0.002296022,-2.255186
0.4332865,0.05529224,-1.886926,0.2545419,0.04239544,-2.104106,0.01219589,0.2005893,-2.245992,-0.1786723,-0.002296022,-2.255186
0.4236859,-0.002167172,-1.900325,0.2447622,0.02542805,-2.116353,0.0107221,0.2033332,-2.24518,-0.1799127,0.0003238645,-2.256234
0.4236859,-0.002167172,-1.900325,0.2447622,0.02542805,-2.116353,0.0107221,0.2033332,-2.24518,-0.1799127,0.0003238645,-2.256234
0.4236859,-0.002167172,-1.900325,0.2447622,0.02542805,-2.116353,0.0107221,0.2033332,-2.24518,-0.1799127,0.0003238645,-2.256234
0.4236859,-0.002167172,-1.900325,0.2447622,0.02542805,-2.116353,0.0107221,0.2033332,-2.24518,-0.1799127,0.0003238645,-2.256234
0.4055057,-0.05417926,-1.913538,0.2354944,0.009864726,-2.126302,0.01213078,0.2032994,-2.245022,-0.1771294,-0.0007896629,-2.258918
0.4055057,-0.05417926,-1.913538,0.2354944,0.009864726,-2.126302,0.01213078,0.2032994,-2.245022,-0.1771294,-0.0007896629,-2.258918
0.3725256,-0.09836679,-1.922113,0.2186858,-0.005957291,-2.138339,0.01446249,0.2043259,-2.250022,-0.1750389,0.0001553978,-2.258214
0.3725256,-0.09836679,-1.922113,0.2186858,-0.005957291,-2.138339,0.01446249,0.2043259,-2.250022,-0.1750389,0.0001553978,-2.258214
0.339901,-0.1346239,-1.910563,0.2071859,-0.02826554,-2.137702,0.01382376,0.2051724,-2.252085,-0.1753084,0.0005960634,-2.259267
0.339901,-0.1346239,-1.910563,0.2071859,-0.02826554,-2.137702,0.01382376,0.2051724,-2.252085,-0.1753084,0.0005960634,-2.259267
0.3058144,-0.1735744,-1.919254,0.1989907,-0.04135564,-2.148477,0.01662692,0.2033083,-2.250519,-0.1730734,-0.0006760477,-2.259168
0.3058144,-0.1735744,-1.919254,0.1989907,-0.04135564,-2.148477,0.01662692,0.2033083,-2.250519,-0.1730734,-0.0006760477,-2.259168
0.2640405,-0.2099475,-1.918723,0.1811483,-0.05978521,-2.14983,0.01883276,0.2050721,-2.25305,-0.171145,0.001238118,-2.258741
0.2640405,-0.2099475,-1.918723,0.1811483,-0.05978521,-2.14983,0.01883276,0.2050721,-2.25305,-0.171145,0.001238118,-2.258741
0.218348,-0.2412364,-1.92061,0.1678831,-0.07381636,-2.154216,0.02025699,0.2137301,-2.258474,-0.1689317,0.009101207,-2.25956
