Hand_L, , ,Hand_R, , 
-0.4026395,0.1117013,-1.556798,0.4043922,0.1122307,-1.476779
-0.4097129,0.08398444,-1.552542,0.4207054,0.06043332,-1.475398
-0.4097129,0.08398444,-1.552542,0.4207054,0.06043332,-1.475398
-0.4097129,0.08398444,-1.552542,0.4207054,0.06043332,-1.475398
-0.4097129,0.08398444,-1.552542,0.4207054,0.06043332,-1.475398
-0.3807819,-0.07329033,-1.473504,0.4161508,-0.04527054,-1.448624
-0.3807819,-0.07329033,-1.473504,0.4161508,-0.04527054,-1.448624
-0.402963,-0.0845466,-1.511343,0.4090721,-0.08744689,-1.438071
-0.402963,-0.0845466,-1.511343,0.4090721,-0.08744689,-1.438071
-0.402963,-0.0845466,-1.511343,0.4090721,-0.08744689,-1.438071
-0.402963,-0.0845466,-1.511343,0.4090721,-0.08744689,-1.438071
-0.3542471,-0.1800539,-1.500358,0.3619233,-0.2105455,-1.432401
-0.3542471,-0.1800539,-1.500358,0.3619233,-0.2105455,-1.432401
-0.3087356,-0.2138274,-1.490339,0.3375331,-0.2495395,-1.432459
-0.3087356,-0.2138274,-1.490339,0.3375331,-0.2495395,-1.432459
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.3065735,-0.2465093,-1.485038,0.3048111,-0.251423,-1.4215
-0.2763604,-0.3025817,-1.480976,0.2307531,-0.3159364,-1.454941
-0.2763604,-0.3025817,-1.480976,0.2307531,-0.3159364,-1.454941
-0.2407026,-0.3413497,-1.477844,0.1893734,-0.3604423,-1.47827
-0.2407026,-0.3413497,-1.477844,0.1893734,-0.3604423,-1.47827
