Hand_L, , ,Hand_R, , 
-0.07068754,-0.3566543,-2.28045,0.1957432,-0.2957155,-2.292393
-0.07068754,-0.3566543,-2.28045,0.1957432,-0.2957155,-2.292393
-0.07068754,-0.3566543,-2.28045,0.1957432,-0.2957155,-2.292393
-0.05817962,-0.3436656,-2.274435,0.178397,-0.2301204,-2.254972
-0.05817962,-0.3436656,-2.274435,0.178397,-0.2301204,-2.254972
-0.08369179,-0.3072945,-2.240481,0.198902,-0.2109622,-2.253044
-0.08369179,-0.3072945,-2.240481,0.198902,-0.2109622,-2.253044
-0.157356,-0.2388569,-2.269011,0.269302,-0.1555077,-2.253137
-0.157356,-0.2388569,-2.269011,0.269302,-0.1555077,-2.253137
-0.1963734,-0.1677149,-2.294086,0.3175562,-0.07578973,-2.258717
-0.1963734,-0.1677149,-2.294086,0.3175562,-0.07578973,-2.258717
-0.1963734,-0.1677149,-2.294086,0.3175562,-0.07578973,-2.258717
-0.1963734,-0.1677149,-2.294086,0.3175562,-0.07578973,-2.258717
-0.2252921,-0.08874866,-2.326428,0.3261776,-0.02983394,-2.282436
-0.2252921,-0.08874866,-2.326428,0.3261776,-0.02983394,-2.282436
-0.2298937,-0.04335606,-2.333128,0.323283,-0.02710028,-2.283124
-0.2298937,-0.04335606,-2.333128,0.323283,-0.02710028,-2.283124
-0.2184372,-0.05311568,-2.329638,0.3022895,-0.05936931,-2.255059
-0.2184372,-0.05311568,-2.329638,0.3022895,-0.05936931,-2.255059
-0.1466545,-0.1218116,-2.304401,0.2726789,-0.1585394,-2.23577
-0.1466545,-0.1218116,-2.304401,0.2726789,-0.1585394,-2.23577
-0.1466545,-0.1218116,-2.304401,0.2726789,-0.1585394,-2.23577
