Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.4024578,-0.267679,-2.625481,0.2272091,-0.2987206,-2.624681,-0.3044886,0.3147986,-2.655724,0.05909394,0.2997768,-2.638402
-0.4024578,-0.267679,-2.625481,0.2272091,-0.2987206,-2.624681,-0.3044886,0.3147986,-2.655724,0.05909394,0.2997768,-2.638402
-0.3807471,-0.2837679,-2.630743,0.2037229,-0.3007537,-2.631989,-0.3012965,0.3151583,-2.646653,0.06254984,0.3016927,-2.648198
-0.3807471,-0.2837679,-2.630743,0.2037229,-0.3007537,-2.631989,-0.3012965,0.3151583,-2.646653,0.06254984,0.3016927,-2.648198
-0.3717111,-0.2701914,-2.633263,0.1820913,-0.3025316,-2.637924,-0.2995328,0.3136561,-2.642342,0.06436703,0.3015768,-2.651995
-0.3717111,-0.2701914,-2.633263,0.1820913,-0.3025316,-2.637924,-0.2995328,0.3136561,-2.642342,0.06436703,0.3015768,-2.651995
-0.3563243,-0.2671567,-2.633639,0.1702893,-0.3078754,-2.638703,-0.2989535,0.3114691,-2.637561,0.06497723,0.2993847,-2.648262
-0.3563243,-0.2671567,-2.633639,0.1702893,-0.3078754,-2.638703,-0.2989535,0.3114691,-2.637561,0.06497723,0.2993847,-2.648262
-0.3491423,-0.2644717,-2.6309,0.1634798,-0.2983527,-2.635599,-0.2987956,0.3140462,-2.637972,0.06522115,0.301256,-2.643781
-0.3491423,-0.2644717,-2.6309,0.1634798,-0.2983527,-2.635599,-0.2987956,0.3140462,-2.637972,0.06522115,0.301256,-2.643781
-0.3491423,-0.2644717,-2.6309,0.1634798,-0.2983527,-2.635599,-0.2987956,0.3140462,-2.637972,0.06522115,0.301256,-2.643781
-0.3491423,-0.2644717,-2.6309,0.1634798,-0.2983527,-2.635599,-0.2987956,0.3140462,-2.637972,0.06522115,0.301256,-2.643781
-0.3460236,-0.2603701,-2.622028,0.164388,-0.3034697,-2.630593,-0.299479,0.3121068,-2.636725,0.0645289,0.2994044,-2.643865
-0.3460236,-0.2603701,-2.622028,0.164388,-0.3034697,-2.630593,-0.299479,0.3121068,-2.636725,0.0645289,0.2994044,-2.643865
-0.3447524,-0.2585446,-2.619787,0.1650456,-0.3076345,-2.627965,-0.2981758,0.31516,-2.638581,0.06570419,0.3026848,-2.650565
-0.3447524,-0.2585446,-2.619787,0.1650456,-0.3076345,-2.627965,-0.2981758,0.31516,-2.638581,0.06570419,0.3026848,-2.650565
-0.3447524,-0.2585446,-2.619787,0.1650456,-0.3076345,-2.627965,-0.2981758,0.31516,-2.638581,0.06570419,0.3026848,-2.650565
-0.3447524,-0.2585446,-2.619787,0.1650456,-0.3076345,-2.627965,-0.2981758,0.31516,-2.638581,0.06570419,0.3026848,-2.650565
-0.3483326,-0.2589927,-2.62257,0.1752098,-0.3057036,-2.624685,-0.2979887,0.3157839,-2.641469,0.06593239,0.3024929,-2.651359
-0.3483326,-0.2589927,-2.62257,0.1752098,-0.3057036,-2.624685,-0.2979887,0.3157839,-2.641469,0.06593239,0.3024929,-2.651359
