Hand_L, , ,Hand_R, , 
-0.3469907,0.3130472,-1.639881,0.286738,0.3471281,-1.601108
-0.3469907,0.3130472,-1.639881,0.286738,0.3471281,-1.601108
-0.3469907,0.3130472,-1.639881,0.286738,0.3471281,-1.601108
-0.3320964,0.311514,-1.638369,0.2770803,0.3404899,-1.620656
-0.3320964,0.311514,-1.638369,0.2770803,0.3404899,-1.620656
-0.3283536,0.3103739,-1.638671,0.2728637,0.3381758,-1.622703
-0.3283536,0.3103739,-1.638671,0.2728637,0.3381758,-1.622703
-0.3283536,0.3103739,-1.638671,0.2728637,0.3381758,-1.622703
-0.3283536,0.3103739,-1.638671,0.2728637,0.3381758,-1.622703
-0.3188828,0.3087811,-1.631873,0.2673644,0.3322812,-1.619017
-0.3188828,0.3087811,-1.631873,0.2673644,0.3322812,-1.619017
-0.3168135,0.3081765,-1.630766,0.2644359,0.3299091,-1.619444
-0.3168135,0.3081765,-1.630766,0.2644359,0.3299091,-1.619444
-0.3157251,0.3073219,-1.629501,0.2594158,0.3252269,-1.619238
-0.3157251,0.3073219,-1.629501,0.2594158,0.3252269,-1.619238
-0.3153324,0.3067941,-1.628787,0.2627458,0.321893,-1.620499
-0.3153324,0.3067941,-1.628787,0.2627458,0.321893,-1.620499
-0.3152142,0.3066243,-1.628627,0.2643617,0.3202262,-1.618419
-0.3152142,0.3066243,-1.628627,0.2643617,0.3202262,-1.618419
-0.3152142,0.3066243,-1.628627,0.2643617,0.3202262,-1.618419
-0.3152142,0.3066243,-1.628627,0.2643617,0.3202262,-1.618419
-0.3152142,0.3066243,-1.628627,0.2643617,0.3202262,-1.618419
-0.3152142,0.3066243,-1.628627,0.2643617,0.3202262,-1.618419
-0.3204438,0.296187,-1.628911,0.2790631,0.3125183,-1.60224
-0.3204438,0.296187,-1.628911,0.2790631,0.3125183,-1.60224
-0.3229427,0.294408,-1.630058,0.2993298,0.2904766,-1.582256
-0.3229427,0.294408,-1.630058,0.2993298,0.2904766,-1.582256
-0.3229427,0.294408,-1.630058,0.2993298,0.2904766,-1.582256
-0.3229427,0.294408,-1.630058,0.2993298,0.2904766,-1.582256
-0.3372473,0.2893375,-1.63745,0.3149237,0.2789039,-1.57643
-0.3372473,0.2893375,-1.63745,0.3149237,0.2789039,-1.57643
-0.3481665,0.2810898,-1.64296,0.3356511,0.2591131,-1.566918
-0.3481665,0.2810898,-1.64296,0.3356511,0.2591131,-1.566918
-0.3573365,0.2730534,-1.650456,0.3409,0.2527497,-1.564861
-0.3573365,0.2730534,-1.650456,0.3409,0.2527497,-1.564861
-0.3799629,0.2345916,-1.647279,0.3669222,0.2254813,-1.551545
-0.3799629,0.2345916,-1.647279,0.3669222,0.2254813,-1.551545
-0.3799629,0.2345916,-1.647279,0.3669222,0.2254813,-1.551545
-0.3799629,0.2345916,-1.647279,0.3669222,0.2254813,-1.551545
-0.3918671,0.2151272,-1.649065,0.3867153,0.2022953,-1.545948
-0.3918671,0.2151272,-1.649065,0.3867153,0.2022953,-1.545948
-0.4022039,0.1888869,-1.647793,0.4039828,0.1747105,-1.539336
-0.4022039,0.1888869,-1.647793,0.4039828,0.1747105,-1.539336
-0.4138147,0.150662,-1.638712,0.4228864,0.1311463,-1.524326
-0.4138147,0.150662,-1.638712,0.4228864,0.1311463,-1.524326
-0.4326652,0.08216064,-1.626217,0.4554866,0.04816619,-1.505196
-0.4326652,0.08216064,-1.626217,0.4554866,0.04816619,-1.505196
-0.4326652,0.08216064,-1.626217,0.4554866,0.04816619,-1.505196
-0.4326652,0.08216064,-1.626217,0.4554866,0.04816619,-1.505196
-0.4276564,0.03371576,-1.616526,0.4538026,-0.02017591,-1.487621
-0.4276564,0.03371576,-1.616526,0.4538026,-0.02017591,-1.487621
-0.4250641,0.005055373,-1.606836,0.4436463,-0.06549738,-1.465709
-0.4250641,0.005055373,-1.606836,0.4436463,-0.06549738,-1.465709
-0.4276594,-0.06449631,-1.568718,0.4036062,-0.1529035,-1.426911
-0.4276594,-0.06449631,-1.568718,0.4036062,-0.1529035,-1.426911
-0.4276594,-0.06449631,-1.568718,0.4036062,-0.1529035,-1.426911
-0.4276594,-0.06449631,-1.568718,0.4036062,-0.1529035,-1.426911
-0.4087982,-0.1066325,-1.558201,0.378451,-0.1892774,-1.404523
-0.4087982,-0.1066325,-1.558201,0.378451,-0.1892774,-1.404523
-0.3946599,-0.1388074,-1.549683,0.3550295,-0.2227501,-1.385782
-0.3946599,-0.1388074,-1.549683,0.3550295,-0.2227501,-1.385782
