Hand_L, , ,Hand_R, , 
-0.2955553,-0.081555,-2.37017,0.4156781,-0.2213538,-2.264686
-0.304488,-0.2313478,-2.359622,0.3603411,-0.3357779,-2.318463
-0.304488,-0.2313478,-2.359622,0.3603411,-0.3357779,-2.318463
-0.2091843,-0.3362232,-2.360361,0.3050076,-0.377051,-2.368217
-0.2091843,-0.3362232,-2.360361,0.3050076,-0.377051,-2.368217
-0.1748809,-0.3744295,-2.389215,0.2799353,-0.3844635,-2.396076
-0.1748809,-0.3744295,-2.389215,0.2799353,-0.3844635,-2.396076
-0.1531771,-0.3894113,-2.406291,0.2746536,-0.3909031,-2.410179
-0.1531771,-0.3894113,-2.406291,0.2746536,-0.3909031,-2.410179
-0.1533375,-0.389576,-2.406409,0.2792489,-0.374409,-2.430764
-0.1533375,-0.389576,-2.406409,0.2792489,-0.374409,-2.430764
-0.1764218,-0.3771188,-2.414039,0.3282712,-0.3538796,-2.438653
-0.1764218,-0.3771188,-2.414039,0.3282712,-0.3538796,-2.438653
-0.2155528,-0.3102646,-2.420991,0.3784336,-0.3169983,-2.419485
-0.2155528,-0.3102646,-2.420991,0.3784336,-0.3169983,-2.419485
-0.2531019,-0.2481551,-2.410583,0.4225889,-0.264434,-2.401533
-0.2531019,-0.2481551,-2.410583,0.4225889,-0.264434,-2.401533
-0.2914625,-0.1736875,-2.405468,0.4570016,-0.1920956,-2.368789
-0.2914625,-0.1736875,-2.405468,0.4570016,-0.1920956,-2.368789
-0.3180777,-0.09106364,-2.401923,0.4700747,-0.1376956,-2.361926
-0.3180777,-0.09106364,-2.401923,0.4700747,-0.1376956,-2.361926
-0.3180777,-0.09106364,-2.401923,0.4700747,-0.1376956,-2.361926
-0.3180777,-0.09106364,-2.401923,0.4700747,-0.1376956,-2.361926
-0.3243374,-0.009597588,-2.392071,0.4733939,-0.07273791,-2.353941
-0.3243374,-0.009597588,-2.392071,0.4733939,-0.07273791,-2.353941
-0.303407,0.06069368,-2.41073,0.4710384,-0.01572167,-2.356576
