Hand_R, , ,Elbow_R, , ,Body, , 
0.1094984,0.3045027,-1.634719,0.1625288,0.07179967,-1.782324,-0.07296007,-0.3106844,-2.056772
0.1094984,0.3045027,-1.634719,0.1625288,0.07179967,-1.782324,-0.07296007,-0.3106844,-2.056772
0.1094984,0.3045027,-1.634719,0.1625288,0.07179967,-1.782324,-0.07296007,-0.3106844,-2.056772
0.2057207,0.2980404,-1.643683,0.218813,0.06564344,-1.798494,-0.06875068,-0.2613222,-2.054128
0.2057207,0.2980404,-1.643683,0.218813,0.06564344,-1.798494,-0.06875068,-0.2613222,-2.054128
0.2057207,0.2980404,-1.643683,0.218813,0.06564344,-1.798494,-0.06875068,-0.2613222,-2.054128
0.2057207,0.2980404,-1.643683,0.218813,0.06564344,-1.798494,-0.06875068,-0.2613222,-2.054128
0.2784334,0.2767086,-1.649992,0.2493916,0.04949482,-1.80758,-0.06531779,-0.2585657,-2.053727
0.2784334,0.2767086,-1.649992,0.2493916,0.04949482,-1.80758,-0.06531779,-0.2585657,-2.053727
0.2784334,0.2767086,-1.649992,0.2493916,0.04949482,-1.80758,-0.06531779,-0.2585657,-2.053727
0.2784334,0.2767086,-1.649992,0.2493916,0.04949482,-1.80758,-0.06531779,-0.2585657,-2.053727
0.3308044,0.2604146,-1.657953,0.2752981,0.03391704,-1.813746,-0.06625962,-0.2609126,-2.055154
0.3308044,0.2604146,-1.657953,0.2752981,0.03391704,-1.813746,-0.06625962,-0.2609126,-2.055154
0.3926523,0.2227092,-1.660549,0.2990397,0.01311072,-1.82327,-0.06685803,-0.2584084,-2.05683
0.3926523,0.2227092,-1.660549,0.2990397,0.01311072,-1.82327,-0.06685803,-0.2584084,-2.05683
0.3926523,0.2227092,-1.660549,0.2990397,0.01311072,-1.82327,-0.06685803,-0.2584084,-2.05683
0.3926523,0.2227092,-1.660549,0.2990397,0.01311072,-1.82327,-0.06685803,-0.2584084,-2.05683
0.4537655,0.1646701,-1.66985,0.3193784,-0.01643017,-1.833911,-0.06693657,-0.2582729,-2.057287
0.4537655,0.1646701,-1.66985,0.3193784,-0.01643017,-1.833911,-0.06693657,-0.2582729,-2.057287
0.4834777,0.1251093,-1.674613,0.3295072,-0.03663905,-1.844146,-0.0688903,-0.2607369,-2.057046
0.4834777,0.1251093,-1.674613,0.3295072,-0.03663905,-1.844146,-0.0688903,-0.2607369,-2.057046
0.4834777,0.1251093,-1.674613,0.3295072,-0.03663905,-1.844146,-0.0688903,-0.2607369,-2.057046
0.4834777,0.1251093,-1.674613,0.3295072,-0.03663905,-1.844146,-0.0688903,-0.2607369,-2.057046
0.5223487,0.05714351,-1.688709,0.3357641,-0.06563865,-1.859111,-0.06903552,-0.259739,-2.058228
0.5223487,0.05714351,-1.688709,0.3357641,-0.06563865,-1.859111,-0.06903552,-0.259739,-2.058228
0.5223487,0.05714351,-1.688709,0.3357641,-0.06563865,-1.859111,-0.06903552,-0.259739,-2.058228
0.5223487,0.05714351,-1.688709,0.3357641,-0.06563865,-1.859111,-0.06903552,-0.259739,-2.058228
0.5377731,-0.0003923138,-1.701183,0.3382182,-0.09910267,-1.869286,-0.07027572,-0.259826,-2.059581
0.5377731,-0.0003923138,-1.701183,0.3382182,-0.09910267,-1.869286,-0.07027572,-0.259826,-2.059581
0.5377731,-0.0003923138,-1.701183,0.3382182,-0.09910267,-1.869286,-0.07027572,-0.259826,-2.059581
0.5377731,-0.0003923138,-1.701183,0.3382182,-0.09910267,-1.869286,-0.07027572,-0.259826,-2.059581
0.5377731,-0.0003923138,-1.701183,0.3382182,-0.09910267,-1.869286,-0.07027572,-0.259826,-2.059581
0.5423295,-0.0798246,-1.705807,0.3324832,-0.1323461,-1.882052,-0.07174188,-0.2592587,-2.05978
0.5423295,-0.0798246,-1.705807,0.3324832,-0.1323461,-1.882052,-0.07174188,-0.2592587,-2.05978
0.5265359,-0.1716851,-1.696844,0.3228212,-0.1759936,-1.892926,-0.07494286,-0.2587973,-2.060406
0.5265359,-0.1716851,-1.696844,0.3228212,-0.1759936,-1.892926,-0.07494286,-0.2587973,-2.060406
0.5265359,-0.1716851,-1.696844,0.3228212,-0.1759936,-1.892926,-0.07494286,-0.2587973,-2.060406
0.5265359,-0.1716851,-1.696844,0.3228212,-0.1759936,-1.892926,-0.07494286,-0.2587973,-2.060406
0.505974,-0.2301465,-1.690774,0.312824,-0.1989908,-1.898202,-0.07659601,-0.2601097,-2.059189
0.505974,-0.2301465,-1.690774,0.312824,-0.1989908,-1.898202,-0.07659601,-0.2601097,-2.059189
0.4527325,-0.3101659,-1.677344,0.2908198,-0.2355712,-1.897481,-0.07873022,-0.2613325,-2.059236
0.4527325,-0.3101659,-1.677344,0.2908198,-0.2355712,-1.897481,-0.07873022,-0.2613325,-2.059236
0.4527325,-0.3101659,-1.677344,0.2908198,-0.2355712,-1.897481,-0.07873022,-0.2613325,-2.059236
0.4527325,-0.3101659,-1.677344,0.2908198,-0.2355712,-1.897481,-0.07873022,-0.2613325,-2.059236
0.3828462,-0.3955539,-1.677416,0.2628748,-0.2784491,-1.905581,-0.08088273,-0.2610665,-2.060408
0.3828462,-0.3955539,-1.677416,0.2628748,-0.2784491,-1.905581,-0.08088273,-0.2610665,-2.060408
0.3828462,-0.3955539,-1.677416,0.2628748,-0.2784491,-1.905581,-0.08088273,-0.2610665,-2.060408
0.3828462,-0.3955539,-1.677416,0.2628748,-0.2784491,-1.905581,-0.08088273,-0.2610665,-2.060408
0.3222289,-0.4426789,-1.685214,0.2375506,-0.2975775,-1.915261,-0.08278413,-0.2590284,-2.060847
0.3222289,-0.4426789,-1.685214,0.2375506,-0.2975775,-1.915261,-0.08278413,-0.2590284,-2.060847
0.2328235,-0.50103,-1.696612,0.1991017,-0.3202253,-1.912504,-0.08140646,-0.2578245,-2.060819
0.2328235,-0.50103,-1.696612,0.1991017,-0.3202253,-1.912504,-0.08140646,-0.2578245,-2.060819
0.2328235,-0.50103,-1.696612,0.1991017,-0.3202253,-1.912504,-0.08140646,-0.2578245,-2.060819
