Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
0.03424048,-0.1468214,-2.412741,0.1489217,0.009175736,-2.543565,0.1289487,0.2798145,-2.578126
0.07313949,-0.177523,-2.412419,0.1511086,0.005043838,-2.550043,0.1291307,0.2795745,-2.578235
0.07313949,-0.177523,-2.412419,0.1511086,0.005043838,-2.550043,0.1291307,0.2795745,-2.578235
0.07313949,-0.177523,-2.412419,0.1511086,0.005043838,-2.550043,0.1291307,0.2795745,-2.578235
0.07313949,-0.177523,-2.412419,0.1511086,0.005043838,-2.550043,0.1291307,0.2795745,-2.578235
0.1211024,-0.20435,-2.41394,0.1526782,0.003522246,-2.553237,0.1292857,0.279368,-2.578369
0.1211024,-0.20435,-2.41394,0.1526782,0.003522246,-2.553237,0.1292857,0.279368,-2.578369
0.1768108,-0.216928,-2.420317,0.1545091,0.00261096,-2.555912,0.1293754,0.279247,-2.57844
0.1768108,-0.216928,-2.420317,0.1545091,0.00261096,-2.555912,0.1293754,0.279247,-2.57844
0.1768108,-0.216928,-2.420317,0.1545091,0.00261096,-2.555912,0.1293754,0.279247,-2.57844
0.1768108,-0.216928,-2.420317,0.1545091,0.00261096,-2.555912,0.1293754,0.279247,-2.57844
0.2324005,-0.2188432,-2.427889,0.1625488,0.002312736,-2.563225,0.1294571,0.2791286,-2.578496
0.2324005,-0.2188432,-2.427889,0.1625488,0.002312736,-2.563225,0.1294571,0.2791286,-2.578496
0.2954802,-0.2033193,-2.431969,0.1805238,0.005118322,-2.575747,0.1295689,0.2789516,-2.578566
0.2954802,-0.2033193,-2.431969,0.1805238,0.005118322,-2.575747,0.1295689,0.2789516,-2.578566
0.2954802,-0.2033193,-2.431969,0.1805238,0.005118322,-2.575747,0.1295689,0.2789516,-2.578566
0.2954802,-0.2033193,-2.431969,0.1805238,0.005118322,-2.575747,0.1295689,0.2789516,-2.578566
0.3508848,-0.1742174,-2.434444,0.1985476,0.01203915,-2.582641,0.1297191,0.2787328,-2.578667
