Hand_R, , ,Shoulder_R, , 
-0.04270814,-0.1882831,-2.158366,0.07056407,0.3019291,-2.486067
-0.08829841,-0.160166,-2.151297,0.0728981,0.3069467,-2.483202
-0.08829841,-0.160166,-2.151297,0.0728981,0.3069467,-2.483202
-0.08829841,-0.160166,-2.151297,0.0728981,0.3069467,-2.483202
-0.08829841,-0.160166,-2.151297,0.0728981,0.3069467,-2.483202
-0.1350245,-0.1304558,-2.150401,0.07576658,0.3030682,-2.477873
-0.1350245,-0.1304558,-2.150401,0.07576658,0.3030682,-2.477873
-0.1350245,-0.1304558,-2.150401,0.07576658,0.3030682,-2.477873
-0.1350245,-0.1304558,-2.150401,0.07576658,0.3030682,-2.477873
-0.184023,-0.07858319,-2.143382,0.07280952,0.2978719,-2.469441
-0.184023,-0.07858319,-2.143382,0.07280952,0.2978719,-2.469441
-0.2076914,-0.03345725,-2.139192,0.0596354,0.2854987,-2.45968
-0.2076914,-0.03345725,-2.139192,0.0596354,0.2854987,-2.45968
-0.2263475,0.01568539,-2.125704,0.05258118,0.2950346,-2.458874
-0.2263475,0.01568539,-2.125704,0.05258118,0.2950346,-2.458874
-0.2509594,0.07979085,-2.105619,0.05676958,0.2872674,-2.451626
-0.2509594,0.07979085,-2.105619,0.05676958,0.2872674,-2.451626
-0.2509594,0.07979085,-2.105619,0.05676958,0.2872674,-2.451626
-0.2509594,0.07979085,-2.105619,0.05676958,0.2872674,-2.451626
-0.2588929,0.1419462,-2.089674,0.05410785,0.2938751,-2.452659
-0.2588929,0.1419462,-2.089674,0.05410785,0.2938751,-2.452659
-0.2588929,0.1419462,-2.089674,0.05410785,0.2938751,-2.452659
-0.2561371,0.1926359,-2.08006,0.048129,0.3011274,-2.456885
-0.2561371,0.1926359,-2.08006,0.048129,0.3011274,-2.456885
-0.2561371,0.1926359,-2.08006,0.048129,0.3011274,-2.456885
-0.2561371,0.1926359,-2.08006,0.048129,0.3011274,-2.456885
-0.245151,0.2549413,-2.064046,0.04608987,0.3016967,-2.452044
-0.245151,0.2549413,-2.064046,0.04608987,0.3016967,-2.452044
-0.2300666,0.3118472,-2.053438,0.04446488,0.30261,-2.449287
