Hand_R, , ,Elbow_R, , ,Shoulder_R, , ,Body, , 
0.7719539,0.1410125,-2.457316,0.4681863,0.1498493,-2.480504,0.1706618,0.2083126,-2.562983,-0.001026355,-0.008840081,-2.564815
0.7719539,0.1410125,-2.457316,0.4681863,0.1498493,-2.480504,0.1706618,0.2083126,-2.562983,-0.001026355,-0.008840081,-2.564815
0.7822326,0.2304445,-2.441284,0.4789766,0.1998598,-2.470895,0.1662311,0.1858848,-2.554961,-0.0001092431,-0.03517791,-2.561709
0.7822326,0.2304445,-2.441284,0.4789766,0.1998598,-2.470895,0.1662311,0.1858848,-2.554961,-0.0001092431,-0.03517791,-2.561709
0.7653069,0.3231917,-2.419035,0.4665855,0.2576998,-2.46437,0.1724823,0.1992967,-2.546614,0.006168548,-0.02107674,-2.565657
0.7653069,0.3231917,-2.419035,0.4665855,0.2576998,-2.46437,0.1724823,0.1992967,-2.546614,0.006168548,-0.02107674,-2.565657
0.7423451,0.4134772,-2.402162,0.4622625,0.3016734,-2.465343,0.1712034,0.2119397,-2.55134,0.006176205,-0.009573382,-2.568292
0.7423451,0.4134772,-2.402162,0.4622625,0.3016734,-2.465343,0.1712034,0.2119397,-2.55134,0.006176205,-0.009573382,-2.568292
0.7104733,0.4883,-2.388906,0.4436207,0.3481824,-2.462296,0.1716871,0.2148681,-2.551715,0.006433434,-0.006482993,-2.569841
0.7104733,0.4883,-2.388906,0.4436207,0.3481824,-2.462296,0.1716871,0.2148681,-2.551715,0.006433434,-0.006482993,-2.569841
0.6789197,0.5566728,-2.385592,0.423674,0.3908565,-2.456347,0.171263,0.2173509,-2.552519,0.005245642,-0.003396174,-2.571447
0.6789197,0.5566728,-2.385592,0.423674,0.3908565,-2.456347,0.171263,0.2173509,-2.552519,0.005245642,-0.003396174,-2.571447
0.6404386,0.626998,-2.379069,0.4071601,0.4294495,-2.451018,0.1704705,0.2197056,-2.556379,0.005768865,-0.002431962,-2.569219
0.6404386,0.626998,-2.379069,0.4071601,0.4294495,-2.451018,0.1704705,0.2197056,-2.556379,0.005768865,-0.002431962,-2.569219
0.6404386,0.626998,-2.379069,0.4071601,0.4294495,-2.451018,0.1704705,0.2197056,-2.556379,0.005768865,-0.002431962,-2.569219
0.6404386,0.626998,-2.379069,0.4071601,0.4294495,-2.451018,0.1704705,0.2197056,-2.556379,0.005768865,-0.002431962,-2.569219
0.5887538,0.6816856,-2.375556,0.3798184,0.460457,-2.452261,0.1701122,0.2158163,-2.553921,-0.0002874132,-0.001461642,-2.572984
0.5887538,0.6816856,-2.375556,0.3798184,0.460457,-2.452261,0.1701122,0.2158163,-2.553921,-0.0002874132,-0.001461642,-2.572984
0.4941996,0.7021602,-2.36502,0.3345688,0.4562325,-2.460044,0.1680573,0.2135937,-2.552133,-0.002392182,-0.003548882,-2.573087
0.4941996,0.7021602,-2.36502,0.3345688,0.4562325,-2.460044,0.1680573,0.2135937,-2.552133,-0.002392182,-0.003548882,-2.573087
0.4186134,0.7223573,-2.349469,0.2972944,0.4625098,-2.460598,0.1672388,0.2159507,-2.554088,-0.003275845,-0.001268846,-2.573723
0.4186134,0.7223573,-2.349469,0.2972944,0.4625098,-2.460598,0.1672388,0.2159507,-2.554088,-0.003275845,-0.001268846,-2.573723
0.3494751,0.7396615,-2.330558,0.2717951,0.4727224,-2.461018,0.167307,0.2147895,-2.553723,-0.005408209,-0.0004909423,-2.575322
0.3494751,0.7396615,-2.330558,0.2717951,0.4727224,-2.461018,0.167307,0.2147895,-2.553723,-0.005408209,-0.0004909423,-2.575322
0.281767,0.7516221,-2.317561,0.2520337,0.4795974,-2.456652,0.1664323,0.2123408,-2.554042,-0.005971765,-0.003202654,-2.57568
0.281767,0.7516221,-2.317561,0.2520337,0.4795974,-2.456652,0.1664323,0.2123408,-2.554042,-0.005971765,-0.003202654,-2.57568
0.281767,0.7516221,-2.317561,0.2520337,0.4795974,-2.456652,0.1664323,0.2123408,-2.554042,-0.005971765,-0.003202654,-2.57568
0.281767,0.7516221,-2.317561,0.2520337,0.4795974,-2.456652,0.1664323,0.2123408,-2.554042,-0.005971765,-0.003202654,-2.57568
0.281767,0.7516221,-2.317561,0.2520337,0.4795974,-2.456652,0.1664323,0.2123408,-2.554042,-0.005971765,-0.003202654,-2.57568
0.2170476,0.7570648,-2.309888,0.23152,0.483537,-2.449014,0.166951,0.2103413,-2.555649,-0.005565416,-0.005101014,-2.577473
0.2170476,0.7570648,-2.309888,0.23152,0.483537,-2.449014,0.166951,0.2103413,-2.555649,-0.005565416,-0.005101014,-2.577473
