Hand_L, , ,Hand_R, , ,Shoulder_L, , ,Shoulder_R, , 
-0.4039122,-0.2688679,-2.634256,0.2418513,-0.2908607,-2.648238,-0.296771,0.3199894,-2.651563,0.06712302,0.3027799,-2.651975
-0.3845223,-0.2871698,-2.656807,0.2207315,-0.3012811,-2.660889,-0.2972725,0.3224097,-2.652352,0.06664461,0.3056224,-2.65281
-0.3845223,-0.2871698,-2.656807,0.2207315,-0.3012811,-2.660889,-0.2972725,0.3224097,-2.652352,0.06664461,0.3056224,-2.65281
-0.3845223,-0.2871698,-2.656807,0.2207315,-0.3012811,-2.660889,-0.2972725,0.3224097,-2.652352,0.06664461,0.3056224,-2.65281
-0.3845223,-0.2871698,-2.656807,0.2207315,-0.3012811,-2.660889,-0.2972725,0.3224097,-2.652352,0.06664461,0.3056224,-2.65281
-0.3576466,-0.2638241,-2.635664,0.1858485,-0.3086009,-2.654131,-0.3003571,0.32011,-2.647198,0.06361562,0.3050129,-2.649902
-0.3576466,-0.2638241,-2.635664,0.1858485,-0.3086009,-2.654131,-0.3003571,0.32011,-2.647198,0.06361562,0.3050129,-2.649902
-0.3538572,-0.2581705,-2.624835,0.176919,-0.3046582,-2.636478,-0.2996696,0.3231373,-2.651802,0.06428682,0.3073569,-2.651521
-0.3538572,-0.2581705,-2.624835,0.176919,-0.3046582,-2.636478,-0.2996696,0.3231373,-2.651802,0.06428682,0.3073569,-2.651521
-0.3538572,-0.2581705,-2.624835,0.1790837,-0.3047656,-2.638401,-0.2984065,0.3227635,-2.651542,0.06536933,0.3034883,-2.653753
-0.3525253,-0.2541503,-2.619513,0.1790837,-0.3047656,-2.638401,-0.2984065,0.3227635,-2.651542,0.06536933,0.3034883,-2.653753
