Hand_R, , ,Elbow_R, , ,Shoulder_R, , 
-0.1067181,0.2650603,-2.251354,0.1408645,0.1939142,-2.342266,0.159076,0.3018044,-2.593455
-0.1067181,0.2650603,-2.251354,0.1408645,0.1939142,-2.342266,0.159076,0.3018044,-2.593455
-0.09908222,0.1729593,-2.274396,0.1469439,0.1673087,-2.361487,0.159208,0.301778,-2.593197
-0.09908222,0.1729593,-2.274396,0.1469439,0.1673087,-2.361487,0.159208,0.301778,-2.593197
-0.08781662,0.1008726,-2.298654,0.1542704,0.1436443,-2.378922,0.1594567,0.3018228,-2.592849
-0.08781662,0.1008726,-2.298654,0.1542704,0.1436443,-2.378922,0.1594567,0.3018228,-2.592849
-0.07362127,0.003857047,-2.32531,0.1569664,0.1257433,-2.393191,0.1595872,0.3018318,-2.592705
-0.07362127,0.003857047,-2.32531,0.1569664,0.1257433,-2.393191,0.1595872,0.3018318,-2.592705
-0.07362127,0.003857047,-2.32531,0.1569664,0.1257433,-2.393191,0.1595872,0.3018318,-2.592705
-0.07362127,0.003857047,-2.32531,0.1569664,0.1257433,-2.393191,0.1595872,0.3018318,-2.592705
-0.05333184,-0.0566396,-2.342244,0.1577223,0.1097192,-2.409402,0.1597761,0.3017761,-2.592309
-0.05333184,-0.0566396,-2.342244,0.1577223,0.1097192,-2.409402,0.1597761,0.3017761,-2.592309
-0.02683476,-0.1063422,-2.36053,0.1596696,0.09375431,-2.426632,0.1598824,0.3017804,-2.592179
-0.02683476,-0.1063422,-2.36053,0.1596696,0.09375431,-2.426632,0.1598824,0.3017804,-2.592179
-0.02683476,-0.1063422,-2.36053,0.1596696,0.09375431,-2.426632,0.1598824,0.3017804,-2.592179
0.004728591,-0.1454546,-2.381805,0.1639468,0.08133903,-2.441731,0.1600065,0.3018689,-2.592103
0.004728591,-0.1454546,-2.381805,0.1639468,0.08133903,-2.441731,0.1600065,0.3018689,-2.592103
0.004728591,-0.1454546,-2.381805,0.1639468,0.08133903,-2.441731,0.1600065,0.3018689,-2.592103
0.004728591,-0.1454546,-2.381805,0.1639468,0.08133903,-2.441731,0.1600065,0.3018689,-2.592103
